Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.0600000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.3699999e-06 5.3099999e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.2400000e-01 8.4399998e-02 2.2099999e-05 0.0000000e+00 0.0000000e+00 
4.1700002e-02 4.0900002e+00 0.0000000e+00 2.5899999e+00 0.0000000e+00 
*** ATOM argon
*** SPECTRUM 3
*** SOURCE2 Mendoza 1983, IAUS 103 "Planetary Nebulae", 143
*** NOTE2 A-values for 3-1, 4-3 & 5-1
*** SOURCE3 Kaufman & Sugar, 1986, JPCRD, 15, 343
*** NOTE3 All other A-values
*** GSCONFIG p4
