Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.2299999e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.7700000e-03 2.3000001e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.6199999e-01 6.0200000e-01 1.1900000e-01 0.0000000e+00 0.0000000e+00 
2.1099999e+00 7.8899997e-01 5.9799999e-01 4.9400001e-05 0.0000000e+00 
*** Ar IV transition probabilities
*** ATOM argon
*** SPECTRUM 4
*** N_LEVELS 5
*** SOURCE2 Mendoza & Zeippen, 1982, MNRAS, 198,127
*** NOTE2 All A values
*** GSCONFIG p3
