Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
7.5700000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
4.5700000e-07 1.4600000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.0400000e-01 2.9200000e-02 9.8200000e-06 0.0000000e+00 0.0000000e+00 
1.9700000e-02 1.3100000e+00 0.0000000e+00 2.0600000e+00 0.0000000e+00 
*** Cl II transition probabilities
*** ATOM chlorine
*** SPECTRUM 2
*** N_LEVELS 5
*** GSCONFIG p4
*** SOURCE2 Mendoza & Zeippen 1983, MNRAS 202, 981
*** NOTE2 All A_values
