Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.4399999e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.0699997e-04 3.0799999e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.2200000e-01 3.6000001e-01 1.0000000e-01 0.0000000e+00 0.0000000e+00 
6.9099998e-01 3.3899999e-01 3.8699999e-01 7.0800002e-06 0.0000000e+00 
*** ATOM chlorine
*** SPECTRUM 3
*** SOURCE2 Mendoza, 1983, "Planetary Nebulae", 143
*** NOTE2 A-value for 4-3
*** SOURCE3 Kauffman & Sugar, 1986, JPCRD, 15, 341
*** NOTE3 All other A-values
*** GSCONFIG p3
