Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
4.8300000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
7.0400001e-04 3.2200001e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.0500001e-01 3.0300000e-01 1.0000000e-01 0.0000000e+00 0.0000000e+00 
7.5400001e-01 3.2300001e-01 3.1600001e-01 7.6500000e-06 0.0000000e+00 
*** ATOM chlorine
*** SPECTRUM 3
*** SOURCE2 Mendoza, 1983, "Planetary Nebulae", 143
*** NOTE2 All A values
*** GSCONFIG p3
