Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.1299999e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.6999999e-07 8.3200000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.5400001e-05 5.5700000e-02 2.0800000e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 2.1900001e+00 2.6200000e-02 4.1399999e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 8.5000000e+03 2.2700000e+04 0.0000000e+00 0.0000000e+00 0.0000000e+00 
*** Cl IV transition probabilities
*** ATOM chlorine
*** SPECTRUM 4
*** N_LEVELS 6
*** SOURCE2 Huang, 1985, ADNDT, 32, 503
*** NOTE2 Calculated energy value of 6-1
*** SOURCE3 Kaufman & Sugar, 1986, JPCRD, 15, 341
*** NOTE3 All other A-values
*** SOURCE4 Mendoza & Zeippen, 1982, 199, 1025
*** NOTE4 A-values for 3-1, 4-1 & 5-3
*** SOURCE5 Ellis & Martinson, 1984, Phys. Scr., 30, 255
*** NOTE5 A-values for 6-2, 6-3
*** GSCONFIG p2
