 Aij
   1/s        1/s        1/s        1/s        1/s        1/s        1/s        1/s        1/s        1/s        1/s        1/s        1/s        1/s        1/s        1/s        1/s        1/s        1/s
0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
5.760e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
0.000e+00  1.340e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
0.000e+00  6.460e-10  1.440e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
6.060e-02  3.470e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
1.610e-02  3.547e-02  3.860e-02  0.000e+00  1.860e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
9.300e-04  6.677e-03  2.359e-02  5.280e-02  5.710e-09  4.700e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
1.900e-05  2.040e-01  2.190e-01  1.260e-02  0.000e+00  0.000e+00  1.120e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
0.000e+00  6.000e-06  2.200e-01  5.391e-01  0.000e+00  0.000e+00  0.000e+00  4.030e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
3.707e-01  6.014e-01  4.950e-03  0.000e+00  1.100e-01  2.560e-01  1.140e-01  1.120e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
3.530e-03  3.190e-03  0.000e+00  0.000e+00  4.420e-01  9.286e-06  2.970e-06  0.000e+00  0.000e+00  2.190e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
4.970e-02  1.440e-01  1.120e+00  7.740e-04  3.220e-07  2.191e-03  7.981e-02  7.880e-06  5.830e-05  5.960e-02  7.590e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
3.774e-01  7.828e-01  2.180e-03  0.000e+00  2.080e-02  1.021e-02  2.190e-01  6.730e-05  0.000e+00  1.040e-01  4.080e-02  2.540e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
0.000e+00  2.590e-05  2.264e-03  3.356e-03  0.000e+00  0.000e+00  1.760e-09  8.348e-02  1.430e-01  0.000e+00  0.000e+00  6.890e-15  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
0.000e+00  0.000e+00  1.830e-05  8.290e-04  0.000e+00  0.000e+00  0.000e+00  5.320e-06  7.853e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.330e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
2.016e-01  2.828e-02  3.666e-02  1.600e-04  8.510e-04  5.263e-04  2.391e-03  2.820e-01  7.320e-05  1.710e-02  1.630e-02  3.475e-02  2.731e-02  7.020e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
6.600e-04  8.580e-02  1.531e-02  2.213e-01  0.000e+00  3.040e-03  5.230e-04  2.414e-01  2.310e-01  2.260e-02  0.000e+00  3.940e-02  9.320e-04  1.700e-03  5.180e-02  8.880e-04  0.000e+00  0.000e+00  0.000e+00 
8.969e-02  1.810e-01  1.300e-02  0.000e+00  1.643e-01  5.780e-01  1.068e-01  1.250e+01  0.000e+00  2.131e+00  1.546e+00  1.021e+00  6.938e-02  0.000e+00  0.000e+00  9.090e-01  1.050e-01  0.000e+00  0.000e+00 
5.605e-03  1.735e-02  1.680e-01  5.550e-02  9.700e-03  3.220e-01  1.301e+00  9.470e-01  1.070e+01  9.700e-01  6.280e-01  5.838e-01  1.849e+00  1.190e-01  0.000e+00  7.319e-01  8.970e-01  6.420e-04  0.000e+00 
*** Fe VI transition probabilities
*** ATOM iron
*** SPECTRUM 6
*** N_LEVELS 19
*** GSCONFIG d3
*** SOURCE1 Chen, G. X. & Pradhan, A. K. 2000, A&AS, 147, 11
*** NOTE1 All transition Probabilities
