1s2.2s               | 2S     | 1/2 |                0     |     L4714
                     |        |     |                      |           
1s2.2p               | 2P*    | 1/2 |           176019     |          
                     |        | 3/2 |           181808     |          
                     |        |     |                      |           
1s2.3s               | 2S     | 1/2 |          2020450     |          
                     |        |     |                      |           
1s2.3p               | 2P*    | 1/2 |          2068770     |          
                     |        | 3/2 |          2070520     |          
                     |        |     |                      |           
1s2.3d               | 2D     | 3/2 |          2088100     |          
                     |        | 5/2 |          2088530     |          
                     |        |     |                      |           
1s2.4s               | 2S     | 1/2 |          2705700     |          
                     |        |     |                      |           
1s2.4p               | 2P*    | 1/2 |          2726120     |          
                     |        | 3/2 |          2726910     |          
                     |        |     |                      |           
1s2.4d               | 2D     | 3/2 |          2734110     |          
                     |        | 5/2 |          2734440     |          
