2s2.2p6             | 1S     |   0 |                 0      |    L15349
                    |        |     |                        |           
2s2.2p5.3s          | 3P*    |   2 |           2026575.7    |    L15349
                    |        |   1 |           2033149.7    |    L15349
                    |        |   0 |           2044543.1    |    L15349
                    |        |     |                        |           
2s2.2p5.3s          | 1P*    |   1 |           2051784.6    |    L15349
                    |        |     |                        |           
2s2.2p5.3p          | 3S     |   1 |           2149341.1    |    L15349
                    |        |     |                        |           
2s2.2p5.3p          | 3D     |   3 |           2169967.2    |    L15349
                    |        |   2 |           2170921.7    |    L15349
                    |        |   1 |           2176736.6    |    L15349
                    |        |     |                        |           
2s2.2p5.3p          | 3P     |   2 |           2182215.2    |    L15349
                    |        |     |                        |           
2s2.2p5.3p          | 1P     |   1 |           2189204.6    |    L15349
                    |        |     |                        |           
2s2.2p5.3p          | 3P     |   0 |           2192277.8    |    L15349
                    |        |     |                        |           
2s2.2p5.3p          | 1D     |   2 |           2195049.5    |    L15349
                    |        |     |                        |           
2s2.2p5.3p          | 3P     |   1 |           2196102.7    |    L15349
                    |        |     |                        |           
2s2.2p5.3p          | 1S     |   0 |           2265099.4    |    L15349
                    |        |     |                        |           
2s2.2p5.3d          | 3P*    |   0 |          2349422.      |    L15349
                    |        |   1 |           2351405.1    |    L15349
                    |        |   2 |           2355542.7    |    L15349
                    |        |     |                        |           
2s2.2p5.3d          | 3F*    |   4 |          2358778.      |    L15349
                    |        |   3 |           2361731.2    |    L15349
                    |        |   2 |          2366940.      |    L15349
                    |        |     |                        |           
2s2.2p5.3d          | 1F*    |   3 |          2370659.      |    L15349
                    |        |     |                        |           
2s2.2p5.3d          | 3D*    |   1 |          2380958.      |    L15349
                    |        |     |                        |           
2s2.2p5.3d          | 1D*    |   2 |           2382377.6    |    L15349
                    |        |     |                        |           
2s2.2p5.3d          | 3D*    |   3 |          2384764.      |    L15349
                    |        |   2 |           2385174.0    |    L15349
                    |        |     |                        |           
2s2.2p5.3d          | 1P*    |   1 |           2411101.4    |    L15349
                    |        |     |                        |           
2s.2p6.3s           | 3S     |   1 |          2623126.      |    L15349
                    |        |   0 |           2639743      |    L15349
                    |        |     |                        |           
2s2.2p5.4s          | 3P*    |   2 |          2701052.      |    L15349
                    |        |     |                        |           
2s2.2p5.4s          | 1P*    |   1 |           2704217      |    L15349
                    |        |     |                        |           
2s2.2p5.4s          | 3P*    |   1 |           2721001      |    L15349
                    |        |     |                        |           
2s2.2p5.4p          | 3S     |   1 |           2755279      |    L15349
                    |        |     |                        |           
