2p6.3s2              | 1S     |   0 |               0.      |    L15349
                     |        |     |                       |           
3s.3p                | 3P*    |   0 |          113101.      |    L15349
                     |        |   1 |           113905.5    |    L15349
                     |        |   2 |          115590.      |    L15349
                     |        |     |                       |           
3s.3p                | 1P*    |   1 |          170722.      |    L15349
                     |        |     |                       |           
3p2                  | 1D     |   2 |          264749.      |    L15349
                     |        |     |                       |           
3p2                  | 3P     |   0 |          269836.      |    L15349
                     |        |   1 |           270777.0    |    L15349
                     |        |   2 |          272562.      |    L15349
                     |        |     |                       |           
3p2                  | 1S     |   0 |          316717.      |    L15349
                     |        |     |                       |           
3s.3d                | 3D     |   1 |          324104.      |    L15349
                     |        |   2 |           324141.2    |    L15349
                     |        |   3 |          324205.      |    L15349
                     |        |     |                       |           
3s.3d                | 1D     |   2 |           370294.0    |    L15349
                     |        |     |                       |           
3p.3d                | 3F*    |   2 |          443362.      |    L15349
                     |        |   3 |          444780.      |    L15349
                     |        |   4 |          446011.      |    L15349
                     |        |     |                       |           
3p.3d                | 1D*    |   2 |          450477.      |    L15349
                     |        |     |                       |           
3p.3d                | 3P*    |   2 |          472282.      |    L15349
                     |        |   1 |          472875.      |    L15349
                     |        |   0 |          473810.      |    L15349
                     |        |     |                       |           
3p.3d                | 3D*    |   1 |          475217.      |    L15349
                     |        |   2 |          475585.      |    L15349
                     |        |   3 |          475762.      |    L15349
                     |        |     |                       |           
3p.3d                | 1F*    |   3 |          510268.      |    L15349
                     |        |     |                       |           
3s.4s                | 3S     |   1 |          514076.      |    L15349
                     |        |     |                       |           
3p.3d                | 1P*    |   1 |           517105.4    |    L15349
                     |        |     |                       |           
3s.4s                | 1S     |   0 |          528910.      |    L15349
                     |        |     |                       |           
3s.4p                | 3P*    |   0 |          563880.      |    L15349
                     |        |   1 |          564418.      |    L15349
                     |        |   2 |          564728.      |    L15349
                     |        |     |                       |           
3s.4p                | 1P*    |   1 |          569797.      |    L15349
                     |        |     |                       |           
3s.4d                | 3D     |   1 |          634605.      |    L15349
                     |        |   2 |          634639.      |    L15349
                     |        |   3 |          634701.      |    L15349
                     |        |     |                       |           
3s.4d                | 1D     |   2 |          635295.      |    L15349
                     |        |     |                       |           
3d2                  | 3F     |   2 |          653904.      |    L15349
                     |        |   3 |          654038.      |    L15349
                     |        |   4 |          654126.      |    L15349
                     |        |     |                       |           
3s.4f                | 3F*    |   2 |          660075.      |    L15349
                     |        |   3 |          660112.      |    L15349
                     |        |   4 |          660122.      |    L15349
                     |        |     |                       |           
3d2                  | 1D     |   2 |          666550.      |    L15349
                     |        |     |                       |           
3s.4f                | 1F*    |   3 |          667496.      |    L15349
                     |        |     |                       |           
3d2                  | 1G     |   4 |          668061.      |    L15349
                     |        |     |                       |           
3d2                  | 3P     |   0 |          669285.      |    L15349
                     |        |   1 |          669366.      |    L15349
                     |        |   2 |          669410.      |    L15349
                     |        |     |                       |           
3p.4p                | 1P     |   1 |          698350.      |    L15349
                     |        |     |                       |           
3p.4p                | 3D     |   1 |          701808.      |    L15349
                     |        |   2 |          702553.      |    L15349
                     |        |     |                       |           
3d2                  | 1S     |   0 |          707626.      |    L15349
                     |        |     |                       |           
3p.4p                | 3S     |   1 |          708189.      |    L15349
                     |        |     |                       |           
3p.4p                | 3P     |   2 |          711890.      |    L15349
                     |        |     |                       |           
3s.5s                | 1S     |   0 |          714794.      |    L15349
                     |        |     |                       |           
3s.5s                | 3S     |   1 |          715747.      |    L15349
                     |        |     |                       |           
3p.4p                | 1D     |   2 |          720475.      |    L15349
                     |        |     |                       |           
3s.5p                | 3P*    |   0 |          739463.      |    L15349
                     |        |   1 |          739690.      |    L15349
                     |        |   2 |          739763.      |    L15349
                     |        |     |                       |           
3s.5p                | 1P*    |   1 |          741843.      |    L15349
                     |        |     |                       |           
3s.5d                | 3D     |   1 |          772345.      |    L15349
                     |        |   3 |          772349.      |    L15349
                     |        |   2 |          772352.      |    L15349
                     |        |     |                       |           
3s.5d                | 1D     |   2 |          772930.      |    L15349
                     |        |     |                       |           
3s.5f                | 3F*    |   4 |          784394.      |    L15349
                     |        |     |                       |           
3p.4f                | 3G     |   4 |          800109.      |    L15349
                     |        |   5 |          800673.      |    L15349
                     |        |     |                       |           
3s.6s                | 3S     |   1 |          813967.      |    L15349
                     |        |     |                       |           
3s.6p                | 1P*    |   1 |          827501.      |    L15349
                     |        |     |                       |           
3s.6d                | 1D     |   2 |          842310.      |    L15349
                     |        |     |                       |           
3s.6d                | 3D     |   1 |          844273.      |    L15349
                     |        |   2 |          844296.      |    L15349
                     |        |   3 |          844296.      |    L15349
                     |        |     |                       |           
3s.6f                | 3F*    |   4 |          851433.      |    L15349
                     |        |     |                       |           
3p.5s                | 3P*    |   0 |          866869.      |    L15349
                     |        |   1 |          867223.      |    L15349
                     |        |   2 |          869049.      |    L15349
                     |        |     |                       |           
3s.7s                | 3S     |   1 |          869540.      |    L15349
                     |        |     |                       |           
3p.5s                | 1P*    |   1 |          870841.      |    L15349
                     |        |     |                       |           
3s.7p                | 3P*    |   0 |           877100      |    L15349
                     |        |   1 |           877100      |    L15349
                     |        |   2 |           877110      |    L15349
                     |        |     |                       |           
3s.7p                | 1P*    |   1 |          877733.      |    L15349
                     |        |     |                       |           
3s.7d                | 3D     |   2 |           881996      |    L15349
                     |        |   3 |           882709      |    L15349
                     |        |     |                       |           
3s.7f                | 3F*    |   4 |          891864.      |    L15349
                     |        |     |                       |           
3s.7g                | 3G     |   5 |          892803.      |    L15349
                     |        |     |                       |           
3s.8d                | 3D     |   2 |           915085      |    L15349
                     |        |   3 |           915143      |    L15349
                     |        |     |                       |           
3s.8f                | 3F*    |   4 |          917972.      |    L15349
                     |        |     |                       |           
3s.8h                | 3H*    |   6 |          918880.      |    L15349
                     |        |     |                       |           
3s.9f                | 3F*    |   4 |          935859.      |    L15349
                     |        |     |                       |           
3s.10f               | 3F*    |   4 |          948615.      |    L15349
