1s              | 2S     | 1/2 |                   0.        |    L15349
                |        |     |                             |           
2p              | 2P*    | 1/2 |           (26762896.)       |    L15349
                |        |     |                             |           
2s              | 2S     | 1/2 |           (26764172.)       |    L15349
                |        |     |                             |           
2p              | 2P*    | 3/2 |           (26801739.)       |    L15349
                |        |     |                             |           
3p              | 2P*    | 1/2 |            (31732216.2)     |    L15349
                |        |     |                             |           
3s              | 2S     | 1/2 |            (31732595.1)     |    L15349
                |        |     |                             |           
3d              | 2D     | 3/2 |            (31743708.36)    |    L15349
                |        |     |                             |           
3p              | 2P*    | 3/2 |            (31743728.5)     |    L15349
                |        |     |                             |           
3d              | 2D     | 5/2 |            (31747515.13)    |    L15349
                |        |     |                             |           
4p              | 2P*    | 1/2 |            (33469895.0)     |    L15349
                |        |     |                             |           
4s              | 2S     | 1/2 |            (33470055.4)     |    L15349
                |        |     |                             |           
4d              | 2D     | 3/2 |            (33474741.16)    |    L15349
                |        |     |                             |           
4p              | 2P*    | 3/2 |            (33474749.8)     |    L15349
                |        |     |                             |           
4f              | 2F*    | 5/2 |            (33476344.82)    |    L15349
                |        |     |                             |           
4d              | 2D     | 5/2 |            (33476347.71)    |    L15349
                |        |     |                             |           
4f              | 2F*    | 7/2 |            (33477146.51)    |    L15349
                |        |     |                             |           
5p              | 2P*    | 1/2 |            (34273516.6)     |    L15349
                |        |     |                             |           
5s              | 2S     | 1/2 |            (34273599.0)     |    L15349
                |        |     |                             |           
5d              | 2D     | 3/2 |            (34275996.87)    |    L15349
                |        |     |                             |           
5p              | 2P*    | 3/2 |            (34276001.28)    |    L15349
                |        |     |                             |           
5f              | 2F*    | 5/2 |            (34276817.97)    |    L15349
                |        |     |                             |           
5d              | 2D     | 5/2 |            (34276819.46)    |    L15349
                |        |     |                             |           
5g              | 2G     | 7/2 |            (34277227.740)   |    L15349
                |        |     |                             |           
5f              | 2F*    | 7/2 |            (34277228.52)    |    L15349
                |        |     |                             |           
5g              | 2G     | 9/2 |            (34277473.875)   |    L15349
