3d10.4s            | 2S     | 1/2 |              0.     |     L3465
                   |        |     |                     |           
3d10.4p            | 2P*    | 1/2 |          97135.     |          
                   |        | 3/2 |         101245.     |          
                   |        |     |                     |           
3d10.4d            | 2D     | 3/2 |         236897.     |          
                   |        | 5/2 |         237342.     |          
                   |        |     |                     |           
3d10.5s            | 2S     | 1/2 |         263596.     |          
                   |        |     |                     |           
3d10.4f            | 2F*    | 5/2 |         331987.     |          
                   |        | 7/2 |         332075.     |          
