1s2.2s              | 2S     |              1/2 |                0.000    |    L12547
                    |        |                  |                         |           
1s2.2p              | 2P*    |              1/2 |            48358.335    |    L12547
                    |        |              3/2 |            48392.435    |    L12547
                    |        |                  |                         |           
1s2.3s              | 2S     |              1/2 |           180201.92     |    L12547
                    |        |                  |                         |           
1s2.3p              | 2P*    |              1/2 |           192951.23     |    L12547
                    |        |              3/2 |           192961.24     |    L12547
                    |        |                  |                         |           
1s2.3d              | 2D     |              3/2 |           196068.75     |    L12547
                    |        |              5/2 |           196071.67     |    L12547
                    |        |                  |                         |           
1s2.4s              | 2S     |              1/2 |           237698.27     |    L12547
                    |        |                  |                         |           
1s2.4p              | 2P*    |              1/2 |           242829.74     |    L12547
                    |        |              3/2 |           242833.65     |    L12547
                    |        |                  |                         |           
1s2.4d              | 2D     |              3/2 |           244141.63     |    L12547
                    |        |              5/2 |           244142.86     |    L12547
                    |        |                  |                         |           
1s2.4f              | 2F*    |              5/2 |           244199.12     |    L12547
                    |        |              7/2 |           244199.74     |    L12547
                    |        |                  |                         |           
1s2.5s              | 2S     |              1/2 |           263159.78     |    L12547
                    |        |                  |                         |           
1s2.5p              | 2P*    |              1/2 |           265721.62     |    L12547
                    |        |              3/2 |           265723.75     |    L12547
                    |        |                  |                         |           
1s2.5d              | 2D     |              3/2 |           266391.36     |    L12547
                    |        |              5/2 |           266391.99     |    L12547
                    |        |                  |                         |           
1s2.5f              | 2F*    |              5/2 |           266422.38     |    L12547
                    |        |              7/2 |           266422.70     |    L12547
                    |        |                  |                         |           
1s2.5g              | 2G     |          7/2,9/2 |           266426.94     |    L12547
                    |        |                  |                         |           
