1s2              | 1S     |     0 |                  0.000    |    L12548
                 |        |       |                           |           
1s.2s            | 3S     |     1 |            1601532.112    |    L12548
                 |        |       |                           |           
1s.2s            | 1S     |     0 |            1635710.3      |    L12548
                 |        |       |                           |           
1s.2p            | 3P*    |     1 |            1636909.536    |    L12548
                 |        |     0 |            1636925.739    |    L12548
                 |        |     2 |            1636962.196    |    L12548
                 |        |       |                           |           
1s.2p            | 1P*    |     1 |            1657971.8      |    L12548
                 |        |       |                           |           
1s.3s            | 3S     |     1 |            1882740        |    L12548
                 |        |       |                           |           
1s.3s            | 1S     |     0 |            1891772        |    L12548
                 |        |       |                           |           
1s.3p            | 3P*    |     0 |            1892223        |    L12548
                 |        |     1 |            1892223        |    L12548
                 |        |     2 |            1892223        |    L12548
                 |        |       |                           |           
1s.3d            | 3D     |     3 |            1896682        |    L12548
                 |        |     2 |            1896682        |    L12548
                 |        |     1 |            1896682        |    L12548
                 |        |       |                           |           
1s.3d            | 1D     |     2 |            1896828        |    L12548
                 |        |       |                           |           
1s.3p            | 1P*    |     1 |            1898218        |    L12548
                 |        |       |                           |           
1s.4s            | 3S     |     1 |            1976434.2      |    L12548
                 |        |       |                           |           
1s.4s            | 1S     |     0 |            1980083.5      |    L12548
                 |        |       |                           |           
1s.4p            | 3P*    |     2 |            1980288.2      |    L12548
                 |        |     1 |            1980288.2      |    L12548
                 |        |     0 |            1980288.2      |    L12548
                 |        |       |                           |           
1s.4d            | 3D     |     1 |            1982137.3      |    L12548
                 |        |     2 |            1982137.3      |    L12548
                 |        |     3 |            1982137.3      |    L12548
                 |        |       |                           |           
1s.4d            | 1D     |     2 |            1982215        |    L12548
                 |        |       |                           |           
1s.4f            | 3F*    |     4 |            1982230.7      |    L12548
                 |        |     3 |            1982230.7      |    L12548
                 |        |     2 |            1982230.7      |    L12548
                 |        |       |                           |           
1s.4f            | 1F*    |     3 |            1982232.5      |    L12548
                 |        |       |                           |           
1s.4p            | 1P*    |     1 |            1982775.5      |    L12548
                 |        |       |                           |           
1s.5s            | 3S     |     1 |            2018812.4      |    L12548
                 |        |       |                           |           
1s.5s            | 1S     |     0 |            2020638.6      |    L12548
                 |        |       |                           |           
1s.5p            | 3P*    |     2 |            2020748.6      |    L12548
                 |        |     1 |            2020748.6      |    L12548
                 |        |     0 |            2020748.6      |    L12548
                 |        |       |                           |           
1s.5d            | 3D     |     1 |            2021686.5      |    L12548
                 |        |     2 |            2021686.5      |    L12548
                 |        |     3 |            2021686.5      |    L12548
                 |        |       |                           |           
1s.5d            | 1D     |     2 |            2021727.1      |    L12548
                 |        |       |                           |           
1s.5f            | 3F*    |     4 |            2021739.1      |    L12548
                 |        |     3 |            2021739.1      |    L12548
                 |        |     2 |            2021739.1      |    L12548
                 |        |       |                           |           
1s.5f            | 1F*    |     3 |            2021739.8      |    L12548
                 |        |       |                           |           
1s.5g            | 3G     |     3 |            2021743.1      |    L12548
                 |        |     4 |            2021743.1      |    L12548
                 |        |     5 |            2021743.1      |    L12548
                 |        |       |                           |           
1s.5g            | 1G     |     4 |            2021743.1      |    L12548
                 |        |       |                           |           
1s.5p            | 1P*    |     1 |            2022009.1      |    L12548
                 |        |       |                           |           
1s.6s            | 3S     |     1 |            2041520.9      |    L12548
                 |        |       |                           |           
1s.6s            | 1S     |     0 |            2042564.8      |    L12548
                 |        |       |                           |           
1s.6p            | 3P*    | 0,1,2 |            2042628.1      |    L12548
                 |        |       |                           |           
1s.6d            | 3D     | 1,2,3 |            2043166.7      |    L12548
                 |        |       |                           |           
1s.6d            | 1D     |     2 |            2043190.8      |    L12548
                 |        |       |                           |           
1s.6f            | 3F*    |     4 |            2043199.7      |    L12548
                 |        |     3 |            2043199.7      |    L12548
                 |        |     2 |            2043199.7      |    L12548
                 |        |       |                           |           
1s.6f            | 1F*    |     3 |            2043200.0      |    L12548
                 |        |       |                           |           
1s.6g            | 1,3G   | 3,4,5 |            2043202.2      |    L12548
                 |        |       |                           |           
1s.6h            | 1,3H*  | 4,5,6 |            2043204.8      |    L12548
                 |        |       |                           |           
