5s2.5p5              | 2P*       |  3/2 |                 0.0    |    L11023
                     |           |  1/2 |             17549.5    |    L11023
                     |           |      |                        |           
5s.5p6               | 2S        |  1/2 |            125805.1    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).5d      | 4D        |  5/2 |            143961.9    |    L11023
                     |           |  3/2 |            144586.0    |    L11023
                     |           |  1/2 |            146521.0    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).5d      | 4P        |  3/2 |            158146.0    |    L11023
                     |           |      |                        |           
5s2.5p4.(1D).5d      | 2P        |  1/2 |            158463.5    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).5d      | 4P        |  1/2 |            159674.5    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).5d      | 4F        |  5/2 |            161782.5    |    L11023
                     |           |  3/2 |            162595.1    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).5d      | 4P        |  5/2 |            163808.5    |    L11023
                     |           |      |                        |           
5s2.5p4.(1D).5d      | 2D        |  3/2 |            163896.3    |    L11023
                     |           |      |                        |           
5s2.5p4.(1D).5d      | 2P        |  3/2 |            169140.7    |    L11023
                     |           |      |                        |           
5s2.5p4.(1D).5d      | 2D        |  5/2 |            170809.9    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).5d      | 2F        |  5/2 |            172999.0    |    L11023
                     |           |      |                        |           
5s2.5p4.(1D).5d      | 2F        |  5/2 |            178670.3    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).6s      | (2,1/2)   |  3/2 |            182453.5    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).6s      | (0,1/2)   |  1/2 |            191137.7    |    L11023
                     |           |      |                        |           
5s2.5p4.(1S).5d      | 2D        |  3/2 |            192304.7    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).6s      | (1,1/2)   |  3/2 |            195924.0    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).5d      | 2D        |  5/2 |            197539.1    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).5d      | 2P?       | 3/2? |            198434.0    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).6s      | (1,1/2)?  | 1/2? |            198870.4    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).5d      | 2P        |  1/2 |            200573.0?   |    L11023
                     |           |      |                        |           
5s2.5p4.(1S).5d      | 2D        |  5/2 |            203103.4    |    L11023
                     |           |      |                        |           
5s2.5p4.(1D).6s      | (2,1/2)   |  3/2 |            205475.8    |    L11023
                     |           |  5/2 |            205623.8    |    L11023
                     |           |      |                        |           
5s2.5p4.(1D).5d      | 2S        |  1/2 |            206301.0    |    L11023
                     |           |      |                        |           
5s2.5p4.(3P).5d      | 2D        |  3/2 |            215660.2    |    L11023
                     |           |      |                        |           
5s2.5p4.(1S).6s      | (0,1/2)   |  1/2 |            230922.0    |    L11023
