2s                | 2S     | 1/2 |                 0     |    L10539
                  |        |     |                       |           
2p                | 2P*    | 1/2 |          (1016400)    |    L10539
                  |        | 3/2 |          (4534000)    |    L10539
                  |        |     |                       |           
3s                | 2S     | 1/2 |         (48266600)    |    L10539
                  |        |     |                       |           
3p                | 2P*    | 1/2 |         (48552200)    |    L10539
                  |        | 3/2 |         (49614400)    |    L10539
                  |        |     |                       |           
3d                | 2D     | 3/2 |         (49713600)    |    L10539
                  |        | 5/2 |         (50029800)    |    L10539
                  |        |     |                       |           
4s                | 2S     | 1/2 |         (64888100)    |    L10539
                  |        |     |                       |           
4p                | 2P*    | 1/2 |         (65005100)    |    L10539
                  |        | 3/2 |         (65451100)    |    L10539
                  |        |     |                       |           
4d                | 2D     | 3/2 |         (65493000)    |    L10539
                  |        | 5/2 |         (65626900)    |    L10539
                  |        |     |                       |           
4f                | 2F*    | 5/2 |         (65629300)    |    L10539
                  |        | 7/2 |         (65694700)    |    L10539
                  |        |     |                       |           
5s                | 2S     | 1/2 |         (72491500)    |    L10539
                  |        |     |                       |           
5p                | 2P*    | 1/2 |         (72550400)    |    L10539
                  |        | 3/2 |         (72777800)    |    L10539
                  |        |     |                       |           
5d                | 2D     | 3/2 |         (72798800)    |    L10539
                  |        | 5/2 |         (72867400)    |    L10539
                  |        |     |                       |           
5f                | 2F*    | 5/2 |         (72869000)    |    L10539
                  |        | 7/2 |         (72902800)    |    L10539
                  |        |     |                       |           
5g                | 2G     | 7/2 |         (72903700)    |    L10539
                  |        | 9/2 |         (72923000)    |    L10539
