4p3                | 4S*    | 3/2 |                  0     |     L7553
                   |        |     |                        |           
4p3                | 2D*    | 3/2 |            (137000)    |     L7553
                   |        | 5/2 |            (168000)    |     L7553
                   |        |     |                        |           
4p3                | 2P*    | 1/2 |            (200000)    |     L7553
                   |        | 3/2 |            (339000)    |     L7553
                   |        |     |                        |           
4p2.5s             | 4P     | 1/2 |           (2333000)    |     L7553
                   |        | 3/2 |           (2469000)    |     L7553
                   |        | 5/2 |           (2482000)    |     L7553
                   |        |     |                        |           
4p2.5s             | 2P     | 1/2 |           (2495000)    |     L7553
                   |        | 3/2 |           (2504000)    |     L7553
                   |        |     |                        |           
4p2.5s             | 2D     | 5/2 |           (2653000)    |     L7553
                   |        | 3/2 |           (2664000)    |     L7553
                   |        |     |                        |           
4p2.5s             | 2S     | 1/2 |           (2714000)    |     L7553
