4s                    | 2S        |  1/2 |                  0     |     L5473
                      |           |      |                        |           
4p                    | 2P*       |  1/2 |             461060     |     L5473
                      |           |  3/2 |             641970     |     L5473
                      |           |      |                        |           
4d                    | 2D        |  3/2 |            1386980     |     L5473
                      |           |  5/2 |            1423320     |     L5473
                      |           |      |                        |           
4f                    | 2F*       |  5/2 |            2218410     |     L5473
                      |           |  7/2 |            2224110     |     L5473
                      |           |      |                        |           
5s                    | 2S        |  1/2 |            3263500     |     L5473
                      |           |      |                        |           
5p                    | 2P*       |  1/2 |            3477400     |     L5473
                      |           |  3/2 |            3559400     |     L5473
                      |           |      |                        |           
5d                    | 2D        |  3/2 |            3905200     |     L5473
                      |           |  5/2 |            3923200     |     L5473
                      |           |      |                        |           
5f                    | 2F*       |  5/2 |            4272700     |     L5473
                      |           |  7/2 |            4276400     |     L5473
                      |           |      |                        |           
5g                    | 2G        |  7/2 |            4419300     |     L5473
                      |           |  9/2 |            4420800     |     L5473
                      |           |      |                        |           
6f                    | 2F*       |  7/2 |            5388200     |     L5473
                      |           |      |                        |           
6h                    | 2H*       |  9/2 |            5485900     |     L5473
                      |           | 11/2 |            5485900     |     L5473
                      |           |      |                        |           
(3d9<3/2>.4s).4f<5/2> | *         |      |            7785700     |    L11790
                      |           |      |                        |           
(3d9<3/2>.4s).4f      | (1,5/2)*  |  3/2 |            7848700     |    L11790
