5d10.6s            | 2S     | 1/2 |             0     |     L3466
                   |        |     |                   |           
5d10.6p            | 2P*    | 1/2 |         87754     |          
                   |        |     |                   |           
5d9.6s2            | 2D     | 5/2 |        103656     |          
                   |        |     |                   |           
5d10.6p            | 2P*    | 3/2 |        115674     |          
                   |        |     |                   |           
5d9.6s2            | 2D     | 3/2 |        133772     |          
                   |        |     |                   |           
                   | 1      | 3/2 |        223224     |          
                   |        |     |                   |           
5d10.6d            | 2D     | 3/2 |        229289     |          
                   |        | 5/2 |        232540     |          
                   |        |     |                   |           
5d10.7s            | 2S     | 1/2 |        233340     |          
                   |        |     |                   |           
5d10.7p            | 2P*    | 1/2 |        270625     |          
                   |        | 3/2 |        281081     |          
                   |        |     |                   |           
5d10.7d            | 2D     | 3/2 |        317307     |          
                   |        | 5/2 |        318629     |          
                   |        |     |                   |           
5d10.8s            | 2S     | 1/2 |        320430     |          
