3d10.4s2            | 1S     |   0 |               0     |     L3465
                    |        |     |                     |           
3d10.4s.4p          | 3P*    |   0 |         104316.     |          
                    |        |   1 |         106431.     |          
                    |        |   2 |         111336.     |          
                    |        |     |                     |           
3d10.4s.4p          | 1P*    |   1 |         151274.     |          
                    |        |     |                     |           
3d10.4p2            | 3P     |   0 |         244136.     |          
                    |        |   1 |         247406.     |          
                    |        |   2 |         253892.     |          
                    |        |     |                     |           
3d10.4s.4d          | 3D     |   1 |         304648.     |          
                    |        |   2 |         304967.     |          
                    |        |   3 |         305451.     |          
