1s              | 2S     |  1/2 |                  0.00      |     L3620
                |        |      |                            |           
2p              | 2P*    |  1/2 |           (2963878.046)    |     L3620
                |        |      |                            |           
2s              | 2S     |  1/2 |           (2963904.185)    |     L3620
                |        |      |                            |           
2p              | 2P*    |  3/2 |           (2964353.012)    |     L3620
                |        |      |                            |           
3p              | 2P*    |  1/2 |           (3512921.6240)   |     L3620
                |        |      |                            |           
3s              | 2S     |  1/2 |           (3512929.430)    |     L3620
                |        |      |                            |           
3d              | 2D     |  3/2 |           (3513062.1247)   |     L3620
                |        |      |                            |           
3p              | 2P*    |  3/2 |           (3513062.3593)   |     L3620
                |        |      |                            |           
3d              | 2D     |  5/2 |           (3513108.9958)   |     L3620
                |        |      |                            |           
4p              | 2P*    |  1/2 |           (3705067.5657)   |     L3620
                |        |      |                            |           
4s              | 2S     |  1/2 |           (3705070.8687)   |     L3620
                |        |      |                            |           
4d              | 2D     |  3/2 |           (3705126.8359)   |     L3620
                |        |      |                            |           
4p              | 2P*    |  3/2 |           (3705126.9361)   |     L3620
                |        |      |                            |           
4f              | 2F*    |  5/2 |           (3705146.5747)   |     L3620
                |        |      |                            |           
4d              | 2D     |  5/2 |           (3705146.6104)   |     L3620
                |        |      |                            |           
4f              | 2F*    |  7/2 |           (3705156.4598)   |     L3620
                |        |      |                            |           
5p              | 2P*    |  1/2 |           (3793995.4430)   |     L3620
                |        |      |                            |           
5s              | 2S     |  1/2 |           (3793997.1367)   |     L3620
                |        |      |                            |           
5d              | 2D     |  3/2 |           (3794025.7876)   |     L3620
                |        |      |                            |           
5p              | 2P*    |  3/2 |           (3794025.8393)   |     L3620
                |        |      |                            |           
5f              | 2F*    |  5/2 |           (3794035.8938)   |     L3620
                |        |      |                            |           
5d              | 2D     |  5/2 |           (3794035.9122)   |     L3620
                |        |      |                            |           
5g              | 2G     |  7/2 |           (3794040.9456)   |     L3620
                |        |      |                            |           
5f              | 2F*    |  7/2 |           (3794040.9551)   |     L3620
                |        |      |                            |           
5g              | 2G     |  9/2 |           (3794043.9821)   |     L3620
                |        |      |                            |           
6p              | 2P*    |  1/2 |           (3842298.5037)   |     L3620
                |        |      |                            |           
6s              | 2S     |  1/2 |           (3842299.4846)   |     L3620
                |        |      |                            |           
6d              | 2D     |  3/2 |           (3842316.0633)   |     L3620
                |        |      |                            |           
6p              | 2P*    |  3/2 |           (3842316.0935)   |     L3620
                |        |      |                            |           
6f              | 2F*    |  5/2 |           (3842321.9117)   |     L3620
                |        |      |                            |           
6d              | 2D     |  5/2 |           (3842321.9224)   |     L3620
                |        |      |                            |           
6g              | 2G     |  7/2 |           (3842324.8352)   |     L3620
                |        |      |                            |           
6f              | 2F*    |  7/2 |           (3842324.8407)   |     L3620
                |        |      |                            |           
6h              | 2H*    |  9/2 |           (3842326.5890)   |     L3620
                |        |      |                            |           
6g              | 2G     |  9/2 |           (3842326.5925)   |     L3620
                |        |      |                            |           
6h              | 2H*    | 11/2 |           (3842327.7605)   |     L3620
                |        |      |                            |           
7p              | 2P*    |  1/2 |           (3871422.1341)   |     L3620
                |        |      |                            |           
7s              | 2S     |  1/2 |           (3871422.7521)   |     L3620
                |        |      |                            |           
7d              | 2D     |  3/2 |           (3871433.1916)   |     L3620
                |        |      |                            |           
7p              | 2P*    |  3/2 |           (3871433.2107)   |     L3620
                |        |      |                            |           
7f              | 2F*    |  5/2 |           (3871436.8745)   |     L3620
                |        |      |                            |           
7d              | 2D     |  5/2 |           (3871436.8812)   |     L3620
                |        |      |                            |           
7g              | 2G     |  7/2 |           (3871438.7155)   |     L3620
                |        |      |                            |           
7f              | 2F*    |  7/2 |           (3871438.7190)   |     L3620
                |        |      |                            |           
7h              | 2H*    |  9/2 |           (3871439.8200)   |     L3620
                |        |      |                            |           
7g              | 2G     |  9/2 |           (3871439.8221)   |     L3620
                |        |      |                            |           
7i              | 2I     | 11/2 |           (3871440.5562)   |     L3620
                |        |      |                            |           
7h              | 2H*    | 11/2 |           (3871440.5577)   |     L3620
                |        |      |                            |           
7i              | 2I     | 13/2 |           (3871441.0831)   |     L3620
                |        |      |                            |           
8p              | 2P*    |  1/2 |           (3890323.6812)   |     L3620
                |        |      |                            |           
8s              | 2S     |  1/2 |           (3890324.0954)   |     L3620
                |        |      |                            |           
8d              | 2D     |  3/2 |           (3890331.0886)   |     L3620
                |        |      |                            |           
8p              | 2P*    |  3/2 |           (3890331.1015)   |     L3620
                |        |      |                            |           
8f              | 2F*    |  5/2 |           (3890333.5559)   |     L3620
                |        |      |                            |           
8d              | 2D     |  5/2 |           (3890333.5604)   |     L3620
                |        |      |                            |           
8g              | 2G     |  7/2 |           (3890334.7893)   |     L3620
                |        |      |                            |           
8f              | 2F*    |  7/2 |           (3890334.7916)   |     L3620
                |        |      |                            |           
8h              | 2H*    |  9/2 |           (3890335.5291)   |     L3620
                |        |      |                            |           
8g              | 2G     |  9/2 |           (3890335.5306)   |     L3620
                |        |      |                            |           
8i              | 2I     | 11/2 |           (3890336.0224)   |     L3620
                |        |      |                            |           
8h              | 2H*    | 11/2 |           (3890336.0234)   |     L3620
                |        |      |                            |           
8k              | 2K*    | 13/2 |           (3890336.3747)   |     L3620
                |        |      |                            |           
8i              | 2I     | 13/2 |           (3890336.3754)   |     L3620
                |        |      |                            |           
8k              | 2K*    | 15/2 |           (3890336.6394)   |     L3620
                |        |      |                            |           
9p              | 2P*    |  1/2 |           (3903282.0755)   |     L3620
                |        |      |                            |           
9s              | 2S     |  1/2 |           (3903282.3665)   |     L3620
                |        |      |                            |           
9d              | 2D     |  3/2 |           (3903287.2779)   |     L3620
                |        |      |                            |           
9p              | 2P*    |  3/2 |           (3903287.2869)   |     L3620
                |        |      |                            |           
9f              | 2F*    |  5/2 |           (3903289.0107)   |     L3620
                |        |      |                            |           
9d              | 2D     |  5/2 |           (3903289.0139)   |     L3620
                |        |      |                            |           
9g              | 2G     |  7/2 |           (3903289.8769)   |     L3620
                |        |      |                            |           
9f              | 2F*    |  7/2 |           (3903289.8785)   |     L3620
                |        |      |                            |           
9h              | 2H*    |  9/2 |           (3903290.3966)   |     L3620
                |        |      |                            |           
9g              | 2G     |  9/2 |           (3903290.3976)   |     L3620
                |        |      |                            |           
9i              | 2I     | 11/2 |           (3903290.7430)   |     L3620
                |        |      |                            |           
9h              | 2H*    | 11/2 |           (3903290.7437)   |     L3620
                |        |      |                            |           
9k              | 2K*    | 13/2 |           (3903290.9904)   |     L3620
                |        |      |                            |           
9i              | 2I     | 13/2 |           (3903290.9909)   |     L3620
                |        |      |                            |           
9l              | 2L     | 15/2 |           (3903291.1759)   |     L3620
                |        |      |                            |           
9k              | 2K*    | 15/2 |           (3903291.1763)   |     L3620
                |        |      |                            |           
9l              | 2L     | 17/2 |           (3903291.3206)   |     L3620
