1s2.2s              | 2S     | 1/2 |                0     |     L7185
                    |        |     |                      |           
1s2.2p              | 2P*    | 1/2 |           290057     |          
                    |        | 3/2 |           330918     |          
                    |        |     |                      |           
1s2.3s              | 2S     | 1/2 |          5276800     |          
                    |        |     |                      |           
1s2.3p              | 2P*    | 1/2 |          5338500     |          
                    |        | 3/2 |          5350200     |          
                    |        |     |                      |           
1s2.3d              | 2D     | 3/2 |          5381200     |          
                    |        | 5/2 |          5384200     |          
                    |        |     |                      |           
1s2.4d              | 2D     | 3/2 |          7112300     |          
                    |        |     |                      |           
1s2.4p              | 2P*    | 1/2 |          7112700     |          
                    |        |     |                      |           
1s2.4f              | 2F*    | 5/2 |          7115200     |          
                    |        | 7/2 |          7115200     |          
                    |        |     |                      |           
1s2.4d              | 2D     | 5/2 |          7116100     |          
                    |        |     |                      |           
1s2.4p              | 2P*    | 3/2 |          7118100     |          
                    |        |     |                      |           
1s2.5d              | 2D     | 5/2 |          7911800     |          
                    |        | 3/2 |          7913200     |          
                    |        |     |                      |           
1s2.5p              | 2P*    | 3/2 |          7913900     |          
                    |        | 1/2 |          7913900     |          
                    |        |     |                      |           
1s2.6p              | 2P*    | 3/2 |          8341000     |          
                    |        | 1/2 |          8341000     |          
                    |        |     |                      |           
1s2.6d              | 2D     | 3/2 |          8346000     |          
                    |        | 5/2 |          8346000     |          
                    |        |     |                      |           
1s2.7p              | 2P*    | 1/2 |          8605000     |          
                    |        | 3/2 |          8605000     |          
                    |        |     |                      |           
1s2.7d              | 2D     | 5/2 |          8610000     |          
                    |        | 3/2 |          8610000     |          
