4d10.5s             | 2S     | 1/2 |                 0.00    |     L3466
                    |        |     |                         |           
4d10.5p             | 2P*    | 1/2 |             44136.08    |          
                    |        | 3/2 |             46618.55    |          
                    |        |     |                         |           
4d9.5s2             | 2D     | 5/2 |             69258.91    |          
                    |        | 3/2 |             74893.66    |          
                    |        |     |                         |           
4d10.6s             | 2S     | 1/2 |             82990.66    |          
                    |        |     |                         |           
4d10.5d             | 2D     | 3/2 |             89689.25    |          
                    |        | 5/2 |             89843.78    |          
                    |        |     |                         |           
4d10.6p             | 2P*    | 1/2 |             94710.41    |          
                    |        | 3/2 |             95383.63    |          
                    |        |     |                         |           
4d9.5s.(3D).5p      | 4P*    | 5/2 |            106189.20    |          
                    |        |     |                         |           
4d10.7s             | 2S     | 1/2 |            107300.88    |          
                    |        |     |                         |           
4d10.4f             | 2F*    | 5/2 |            108419.47    |          
                    |        | 7/2 |            108432.43    |          
                    |        |     |                         |           
4d9.5s.(3D).5p      | 4P*    | 3/2 |            109440.86    |          
                    |        |     |                         |           
4d9.5s.(3D).5p      | 4F*    | 7/2 |            109736.82    |          
                    |        | 5/2 |            110168.11    |          
                    |        |     |                         |           
4d10.6d             | 2D     | 3/2 |            110174.10    |          
                    |        | 5/2 |            110247.60    |          
                    |        |     |                         |           
4d9.5s.(3D).5p      | 4P*    | 1/2 |            112196.50    |          
                    |        |     |                         |           
4d10.7p             | 2P*    | 1/2 |            112361.06    |          
                    |        | 3/2 |            112490.39    |          
                    |        |     |                         |           
4d9.5s.(3D).5p      | 4F*    | 3/2 |            112785.19    |          
                    |        |     |                         |           
4d9.5s.(3D).5p      | 4D*    | 7/2 |            114793.91?   |          
                    |        | 5/2 |            114952.30    |          
                    |        | 3/2 |            116225.71    |          
                    |        |     |                         |           
4d9.5s.(3D).5p      | 2F*    | 5/2 |            116953.70    |          
                    |        |     |                         |           
4d9.5s.(3D).5p      | 4D*    | 1/2 |            117988.79    |          
                    |        |     |                         |           
4d10.8s             | 2S     | 1/2 |            118040.65    |          
                    |        |     |                         |           
4d10.5f             | 2F*    | 7/2 |            118444.36    |          
                    |        | 5/2 |            118545.77    |          
                    |        |     |                         |           
4d10.5g             | 2G     | 7/2 |            118769.95    |          
                    |        | 9/2 |            118769.95    |          
                    |        |     |                         |           
4d9.5s.(3D).5p      | 2P*    | 3/2 |            119056.11    |          
                    |        | 1/2 |            119293.99    |          
                    |        |     |                         |           
4d9.5s.(3D).5p      | 2F*    | 7/2 |            119373.19    |          
                    |        |     |                         |           
4d10.7d             | 2D     | 3/2 |            119522.72    |          
                    |        | 5/2 |            119561.99    |          
                    |        |     |                         |           
4d9.5s.(3D).5p      | 2D*    | 3/2 |            120135.22    |          
                    |        |     |                         |           
4d10.8p             | 2P*    | 1/2 |            120618.46    |          
                    |        | 3/2 |            120711.18    |          
                    |        |     |                         |           
4d9.5s.(3D).5p      | 2D*    | 5/2 |            121281.64    |          
                    |        |     |                         |           
4d10.9s             | 2S     | 1/2 |            123751.48    |          
                    |        |     |                         |           
4d10.6f             | 2F*    | 7/2 |            123972.10    |          
                    |        | 5/2 |            123988.39    |          
                    |        |     |                         |           
4d10.6g             | 2G     | 7/2 |            124151.26    |          
                    |        | 9/2 |            124151.26    |          
                    |        |     |                         |           
4d10.8d             | 2D     | 3/2 |            124613.30    |          
                    |        | 5/2 |            124636.50    |          
                    |        |     |                         |           
4d10.9p             | 2P*    | 1/2 |            125223.06    |          
                    |        | 3/2 |            125254.49    |          
                    |        |     |                         |           
4d10.10s            | 2S     | 1/2 |            127152.89    |          
                    |        |     |                         |           
4d10.7f             | 2F*    | 7/2 |            127249.09    |          
                    |        | 5/2 |            127283.04    |          
                    |        |     |                         |           
4d10.7g             | 2G     | 9/2 |            127396.62    |          
                    |        | 7/2 |            127396.62    |          
                    |        |     |                         |           
4d10.9d             | 2D     | 3/2 |            127697.43    |          
                    |        | 5/2 |            127712.28    |          
                    |        |     |                         |           
4d10.10p            | 2P*    | 3/2 |            127996.73    |          
                    |        | 1/2 |            128076.3     |          
                    |        |     |                         |           
4d9.5s.(1D).5p      | 2F*    | 7/2 |            129189.5     |          
                    |        |     |                         |           
4d10.11s            | 2S     | 1/2 |            129343.05    |          
                    |        |     |                         |           
4d9.5s.(1D).5p      | 2P*    | 3/2 |            129344.86    |          
                    |        |     |                         |           
4d10.8f             | 2F*    | 5/2 |            129419.38    |          
                    |        |     |                         |           
4d10.8g             | 2G     | 7/2 |            129502.43    |          
                    |        | 9/2 |            129502.43    |          
                    |        |     |                         |           
4d10.8f             | 2F*    | 7/2 |            129686.60    |          
                    |        |     |                         |           
4d10.10d            | 2D     | 3/2 |            129708.50    |          
                    |        | 5/2 |            129718.66    |          
                    |        |     |                         |           
4d10.11p            | 2P*    | 1/2 |            129956.3     |          
                    |        | 3/2 |            130216.6     |          
                    |        |     |                         |           
4d10.12s            | 2S     | 1/2 |            130835.86    |          
                    |        |     |                         |           
4d10.9f             | 2F*    | 5/2 |            130878.61    |          
                    |        | 7/2 |            130925.82    |          
                    |        |     |                         |           
4d10.9g             | 2G     | 7/2 |            130946.09    |          
                    |        | 9/2 |            130946.09    |          
                    |        |     |                         |           
4d10.11d            | 2D     | 3/2 |            131092.90    |          
                    |        | 5/2 |            131100.14    |          
                    |        |     |                         |           
4d10.12p            | 2P*    | 1/2 |            131261.1     |          
                    |        | 3/2 |            131374.7     |          
                    |        |     |                         |           
4d9.5s.(1D).5p      | 2F*    | 5/2 |            131718.2     |          
                    |        |     |                         |           
4d10.13s            | 2S     | 1/2 |            131899.07    |          
                    |        |     |                         |           
4d10.10f            | 2F*    | 7/2 |            131953.72?   |          
                    |        | 5/2 |            131961.87?   |          
                    |        |     |                         |           
4d10.10g            | 2G     | 9/2 |            131978.47    |          
                    |        | 7/2 |            131978.47    |          
                    |        |     |                         |           
4d10.12d            | 2D     | 3/2 |            132086.77    |          
                    |        | 5/2 |            132092.18    |          
                    |        |     |                         |           
4d10.13p            | 2P*    | 3/2 |            132280.4?    |          
                    |        |     |                         |           
4d10.11f            | 2F*    | 7/2 |            132707.91?   |          
                    |        |     |                         |           
4d10.11g            | 2G     | 9/2 |            132742.26    |          
                    |        | 7/2 |            132742.26    |          
                    |        |     |                         |           
4d10.13d            | 2D     | 3/2 |            132824.25    |          
                    |        | 5/2 |            132828.29    |          
                    |        |     |                         |           
4d10.14d            | 2D     | 5/2 |            133389.76    |          
