5p6.4f               | 2F*    |     5/2 |             0     |     L3974
                     |        |     7/2 |          2253     |          
                     |        |         |                   |           
5p6.5d               | 2D     |     3/2 |         49737     |          
                     |        |     5/2 |         52226     |          
                     |        |         |                   |           
5p6.6s               | 2S     |     1/2 |         86602     |          
                     |        |         |                   |           
5p6.6p               | 2P*    |     1/2 |        122585     |          
                     |        |     3/2 |        127292     |          
                     |        |         |                   |           
5p6.6d               | 2D     |     5/2 |        177198     |          
                     |        |     3/2 |        178913     |          
                     |        |         |                   |           
5p6.7s               | 2S     |     1/2 |        183502     |          
                     |        |         |                   |           
5p6.5f               | 2F*    |     5/2 |        184545     |          
                     |        |     7/2 |        184746     |          
                     |        |         |                   |           
5p6.7d               | 2D     |     3/2 |        221661     |          
                     |        |     5/2 |        221838     |          
                     |        |         |                   |           
5p6.8s               | 2S     |     1/2 |        225128     |          
                     |        |         |                   |           
5p6.5g               | 2G     | 7/2,9/2 |        225625     |          
