2p6.3s2             | 1S     |   0 |              0     |     L8473
                    |        |     |                    |           
3s.3p               | 3P*    |   0 |          98062     |          
                    |        |   1 |          98621     |          
                    |        |   2 |          99782     |          
                    |        |     |                    |           
3s.3p               | 1P*    |   1 |         148947     |          
                    |        |     |                    |           
3p2                 | 1D     |   2 |         229219     |          
                    |        |     |                    |           
3p2                 | 3P     |   0 |         234886     |          
                    |        |   1 |         235518     |          
                    |        |   2 |         236721     |          
                    |        |     |                    |           
3p2                 | 1S     |   0 |         275988     |          
                    |        |     |                    |           
3s.3d               | 3D     |   1 |         279758     |          
                    |        |   2 |         279773     |          
                    |        |   3 |         279804     |          
                    |        |     |                    |           
3s.3d               | 1D     |   2 |         320925     |          
                    |        |     |                    |           
3p.3d               | 3F*    |   2 |         383627     |          
                    |        |   3 |         384280     |          
                    |        |   4 |         385115     |          
                    |        |     |                    |           
3p.3d               | 1D*    |   2 |         389464     |          
                    |        |     |                    |           
3s.4s               | 3S     |   1 |         407323     |          
                    |        |     |                    |           
3p.3d               | 3P*    |   2 |         409004     |          
                    |        |   1 |         409551     |          
                    |        |   0 |         409949     |          
                    |        |     |                    |           
3p.3d               | 3D*    |   1 |         411742     |          
                    |        |   2 |         412001     |          
                    |        |   3 |         412160     |          
                    |        |     |                    |           
3s.4s               | 1S     |   0 |         417240     |          
                    |        |     |                    |           
3p.3d               | 1F*    |   3 |         438200     |          
                    |        |     |                    |           
3p.3d               | 1P*    |   1 |         444320     |          
                    |        |     |                    |           
3s.4p               | 3P*    |   0 |         452767     |          
                    |        |   1 |         452944     |          
                    |        |   2 |         453341     |          
                    |        |     |                    |           
3s.4p               | 1P*    |   1 |         457786     |          
                    |        |     |                    |           
3s.4d               | 3D     |   1 |         509779     |          
                    |        |   2 |         509815     |          
                    |        |   3 |         509864     |          
                    |        |     |                    |           
3s.4d               | 1D     |   2 |         511035     |          
                    |        |     |                    |           
3s.4f               | 3F*    |   2 |         529797     |          
                    |        |   3 |         529799     |          
                    |        |   4 |         529809     |          
                    |        |     |                    |           
3p.4s               | 3P*    |   0 |         534513     |          
                    |        |   1 |         534989     |          
                    |        |   2 |         536308     |          
                    |        |     |                    |           
3s.4f               | 1F*    |   3 |         536441     |          
                    |        |     |                    |           
3p.4s               | 1P*    |   1 |         540693     |          
                    |        |     |                    |           
3d2                 | 3F     |   3 |         564764     |          
                    |        |   4 |         564815     |          
                    |        |     |                    |           
3d2                 | 1G     |   4 |         571878     |          
                    |        |     |                    |           
3p.4p               | 3D     |   1 |         573671     |          
                    |        |   2 |         574205     |          
                    |        |     |                    |           
3d2                 | 1D     |   2 |         575169     |          
                    |        |     |                    |           
3p.4p               | 3D     |   3 |         575469     |          
                    |        |     |                    |           
3d2                 | 3P     |   1 |         578018     |          
                    |        |   2 |         578486     |          
                    |        |     |                    |           
3s.5g               | 1G     |   4 |         620970     |          
                    |        |     |                    |           
3p.4f               | 1F     |   3 |         649152     |          
                    |        |     |                    |           
3p.4f               | 3G     |   3 |         651334     |          
                    |        |   4 |         651638     |          
                    |        |     |                    |           
3p.4f               | 3F     |   2 |         652201     |          
                    |        |   3 |         652628     |          
                    |        |     |                    |           
3p.4f               | 3G     |   5 |         652668     |          
                    |        |     |                    |           
3p.4f               | 3F     |   4 |         652968     |          
                    |        |     |                    |           
3p.4f               | 3D     |   3 |         657490     |          
                    |        |   2 |         657971     |          
                    |        |   1 |         658335     |          
                    |        |     |                    |           
3p.4f               | 1G     |   4 |         662096     |          
                    |        |     |                    |           
3p.4f               | 1D     |   2 |         663224     |          
