3s2.3p3            | 4S*    | 3/2 |                 0     |     L7185
                   |        |     |                       |           
3s2.3p3            | 2D*    | 3/2 |             43650     |          
                   |        | 5/2 |             49690     |          
                   |        |     |                       |           
3s2.3p3            | 2P*    | 1/2 |             79460     |          
                   |        | 3/2 |             88170     |          
                   |        |     |                       |           
3s.3p4             | 4P     | 5/2 |            295160     |          
                   |        | 3/2 |            307030     |          
                   |        | 1/2 |            312110     |          
                   |        |     |                       |           
3s.3p4             | 2D     | 3/2 |            365530     |          
                   |        | 5/2 |            368250     |          
                   |        |     |                       |           
3s.3p4             | 2P     | 3/2 |            418480     |          
                   |        | 1/2 |            423290     |          
                   |        |     |                       |           
3s2.3p2.(3P).3d    | 4P     | 5/2 |            547890     |          
                   |        | 3/2 |            552880     |          
                   |        | 1/2 |            556820     |          
                   |        |     |                       |           
3s2.3p2.(1D).3d    | 2D     | 3/2 |            592830     |          
                   |        | 5/2 |            594200     |          
                   |        |     |                       |           
3s2.3p2.(1D).3d    | 2P     | 1/2 |            608870     |          
                   |        | 3/2 |            618880     |          
                   |        |     |                       |           
3s2.3p2.(1D).3d    | 2F     | 7/2 |            621710     |          
                   |        |     |                       |           
3s2.3p2.(3P).3d    | 2D     | 5/2 |            646890     |          
                   |        | 3/2 |            648390     |          
                   |        |     |                       |           
3s2.3p2.4d         | 4P     | 5/2 |           1432000     |          
                   |        |     |                       |           
3s2.3p2.4d         | 2P     | 1/2 |           1432200     |          
                   |        | 3/2 |           1441700     |          
                   |        |     |                       |           
3s2.3p2.4d         | 2D     | 5/2 |           1464500     |          
                   |        | 3/2 |           1466300     |          
                   |        |     |                       |           
3s2.3p2.(3P).4d    | 2F     | 5/2 |           1710600     |          
                   |        | 7/2 |           1720300     |          
                   |        |     |                       |           
3s2.3p2.4d         | 4D     | 7/2 |           1729500     |          
                   |        |     |                       |           
3s2.3p2.(1D).4d    | 2D     | 5/2 |           1751800     |          
