2p6.3s               | 2S     | 1/2 |                0     |     L7185
                     |        |     |                      |           
2p6.3p               | 2P*    | 1/2 |           294537     |          
                     |        | 3/2 |           319940     |          
                     |        |     |                      |           
2p6.3d               | 2D     | 3/2 |           720211     |          
                     |        | 5/2 |           723915     |          
                     |        |     |                      |           
2p6.4s               | 2S     | 1/2 |          2079550     |          
                     |        |     |                      |           
2p6.4p               | 2P*    | 1/2 |          2196500     |          
                     |        | 3/2 |          2206580     |          
                     |        |     |                      |           
2p6.4d               | 2D     | 3/2 |          2353690     |          
                     |        | 5/2 |          2355250     |          
                     |        |     |                      |           
2p6.4f               | 2F*    | 5/2 |          2419790     |          
                     |        | 7/2 |          2420410     |          
                     |        |     |                      |           
2p6.5s               | 2S     | 1/2 |          2967700     |          
                     |        |     |                      |           
2p6.5p               | 2P*    | 1/2 |          3026100     |          
                     |        | 3/2 |          3030800     |          
                     |        |     |                      |           
2p6.5d               | 2D     | 3/2 |          3102200     |          
                     |        | 5/2 |          3103000     |          
                     |        |     |                      |           
2p6.5f               | 2F*    | 5/2 |          3135200     |          
                     |        | 7/2 |          3135300     |          
                     |        |     |                      |           
2p6.5g               | 2G     | 9/2 |          3139500     |          
                     |        | 7/2 |          3139500     |          
                     |        |     |                      |           
2p6.6p               | 2P*    | 1/2 |          3463300     |          
                     |        | 3/2 |          3466200     |          
                     |        |     |                      |           
2p6.6d               | 2D     | 3/2 |          3505700     |          
                     |        | 5/2 |          3506100     |          
                     |        |     |                      |           
2p6.6f               | 2F*    | 7/2 |          3524500     |          
                     |        | 5/2 |          3524500     |          
                     |        |     |                      |           
2p6.7d               | 2D     | 3/2 |          3747600     |          
                     |        | 5/2 |          3748000     |          
                     |        |     |                      |           
2p6.7f               | 2F*    | 5/2 |          3758800     |          
                     |        | 7/2 |          3758800     |          
                     |        |     |                      |           
2p6.8d               | 2D     | 5/2 |          3903900     |          
                     |        |     |                      |           
2p6.8f               | 2F*    | 7/2 |          3910700     |          
                     |        | 5/2 |          3910700     |          
