3d5.(6S).4s           | a 7S   |   3 |                0.0000    |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).4s           | a 5S   |   2 |             7593.1484    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s2               | a 5D   |   0 |             7750.7465    |           L18327
                      |        |   1 |             7810.7795    |     L18327,L7185
                      |        |   2 |             7927.4410    |     L18327,L7185
                      |        |   3 |             8095.1842    |     L18327,L7185
                      |        |   4 |             8307.5753    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4G).4s           | a 5G   |   2 |            20517.4222    |     L18327,L7185
                      |        |   6 |            20519.5515    |     L18327,L7185
                      |        |   3 |            20520.9029    |     L18327,L7185
                      |        |   4 |            20523.6290    |     L18327,L7185
                      |        |   5 |            20523.8999    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4P).4s           | a 5P   |   3 |            21840.8096    |     L18327,L7185
                      |        |   2 |            21847.8349    |     L18327,L7185
                      |        |   1 |            21856.9287    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s2               | a 3P   |   0 |            23163.2205    |           L18327
                      |        |     |                          |                  
3d5.(6S).4p           | z 7P*  |   2 |            23305.0026    |     L18327,L7185
                      |        |   3 |            23386.3419    |     L18327,L7185
                      |        |   4 |            23498.8156    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s2               | a 3P   |   1 |            23511.9739    |           L18327
                      |        |     |                          |                  
3d4.4s2               | a 3H   |   4 |            23933.8561    |           L18327
                      |        |   5 |            24056.0404    |           L18327
                      |        |     |                          |                  
3d4.4s2               | a 3P   |   2 |            24093.1182    |           L18327
                      |        |     |                          |                  
3d4.4s2               | a 3H   |   6 |            24200.1980    |           L18327
                      |        |     |                          |                  
3d5.(4D).4s           | b 5D   |   0 |            24277.0546    |     L18327,L7185
                      |        |   4 |            24282.3486    |     L18327,L7185
                      |        |   1 |            24286.5418    |     L18327,L7185
                      |        |   2 |            24299.8419    |     L18327,L7185
                      |        |   3 |            24303.9025    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4G).4s           | a 3G   |   3 |            24833.7957    |     L18327,L7185
                      |        |   4 |            24897.4635    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s2               | a 3F   |   2 |            24940.594     |           L18327
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 7F*  |   0 |            24971.092     |     L18327,L7185
                      |        |   1 |            25010.6397    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4G).4s           | a 3G   |   5 |            25038.4981    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 7F*  |   2 |            25089.2497    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s2               | a 3F   |   3 |            25106.2953    |           L18327
                      |        |   4 |            25177.3539    |           L18327
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 7F*  |   3 |            25205.9980    |     L18327,L7185
                      |        |   4 |            25359.6141    |     L18327,L7185
                      |        |   5 |            25548.6093    |     L18327,L7185
                      |        |   6 |            25771.417     |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).4p           | z 5P*  |   3 |            26787.4640    |     L18327,L7185
                      |        |   2 |            26796.2691    |     L18327,L7185
                      |        |   1 |            26801.9009    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4P).4s           | b 3P   |   0 |            27163.1052    |     L18327,L7185
                      |        |   1 |            27176.1072    |     L18327,L7185
                      |        |   2 |            27222.9417    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 7D*  |   1 |            27300.1433    |     L18327,L7185
                      |        |   2 |            27382.1739    |     L18327,L7185
                      |        |   3 |            27500.3699    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s2               | b 3G   |   3 |            27597.2409    |           L18327
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 7D*  |   4 |            27649.6960    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s2               | b 3G   |   4 |            27703.7743    |           L18327
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | y 7P*  |   2 |            27728.8110    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s2               | b 3G   |   5 |            27816.7783    |           L18327
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | y 7P*  |   3 |            27820.1975    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 7D*  |   5 |            27825.3207    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | y 7P*  |   4 |            27935.2412    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4D).4s           | a 3D   |   3 |            28636.9634    |     L18327,L7185
                      |        |   1 |            28679.4239    |     L18327,L7185
                      |        |   2 |            28682.2050    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | y 5P*  |   1 |            29420.8645    |     L18327,L7185
                      |        |   2 |            29584.5708    |     L18327,L7185
                      |        |   3 |            29824.6909    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 5F*  |   1 |            30787.2817    |     L18327,L7185
                      |        |   2 |            30858.7516    |     L18327,L7185
