3d5                    | a 6S   |  5/2 |                  0.0000    |       L18847
                       |        |      |                            |              
3d4.(5D).4s            | a 6D   |  1/2 |              11961.7464    | L18847,L7185
                       |        |  3/2 |              12032.5447    | L18847,L7185
                       |        |  5/2 |              12147.7713    | L18847,L7185
                       |        |  7/2 |              12303.8200    | L18847,L7185
                       |        |  9/2 |              12496.4565    | L18847,L7185
                       |        |      |                            |              
3d4.(5D).4s            | a 4D   |  1/2 |              19528.2293    | L18847,L7185
                       |        |  3/2 |              19631.2058    | L18847,L7185
                       |        |  5/2 |              19797.8594    | L18847,L7185
                       |        |  7/2 |              20024.0117    | L18847,L7185
                       |        |      |                            |              
3d5                    | a 4G   |  5/2 |              20512.0630    | L18847,L7185
                       |        | 11/2 |              20512.0959    | L18847,L7185
                       |        |  7/2 |              20517.7920    | L18847,L7185
                       |        |  9/2 |              20519.2694    | L18847,L7185
                       |        |      |                            |              
3d5                    | a 4P   |  5/2 |              21822.5042    | L18847,L7185
                       |        |  1/2 |              21823.7200    | L18847,L7185
                       |        |  3/2 |              21824.1406    | L18847,L7185
                       |        |      |                            |              
3d5                    | b 4D   |  7/2 |              25033.6679    | L18847,L7185
                       |        |  1/2 |              25035.3437    | L18847,L7185
                       |        |  3/2 |              25042.7595    | L18847,L7185
                       |        |  5/2 |              25046.7144    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3P).4s          | b 4P   |  1/2 |              29951.8162    | L18847,L7185
                       |        |      |                            |              
3d5                    | a 2I   | 11/2 |              30143.2469    |       L18847
                       |        | 13/2 |              30149.8747    |       L18847
                       |        |      |                            |              
3d4.(3H).4s            | a 4H   |  7/2 |              30156.7340    | L18847,L7185
                       |        |  9/2 |              30218.7787    | L18847,L7185
                       |        | 11/2 |              30298.4679    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3P).4s          | b 4P   |  3/2 |              30307.3672    | L18847,L7185
                       |        |      |                            |              
3d4.(3H).4s            | a 4H   | 13/2 |              30391.8311    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3P).4s          | b 4P   |  5/2 |              30864.4328    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3F).4s          | a 4F   |  3/2 |              31082.8842    | L18847,L7185
                       |        |  5/2 |              31117.3254    | L18847,L7185
                       |        |  7/2 |              31168.5755    | L18847,L7185
                       |        |  9/2 |              31219.3322    | L18847,L7185
                       |        |      |                            |              
3d5                    | a 2D   |  5/2 |              31350.8736    |       L18847
                       |        |  3/2 |              31531.1762    |       L18847
                       |        |      |                            |              
3d5                    | a 2F   |  7/2 |              32355.6538    |       L18847
                       |        |  5/2 |              32603.3491    |       L18847
                       |        |      |                            |              
3d5                    | b 4F   |  7/2 |              32836.6527    |       L18847
                       |        |  3/2 |              32844.7068    |       L18847
                       |        |  9/2 |              32854.2497    |       L18847
                       |        |  5/2 |              32854.9399    |       L18847
                       |        |      |                            |              
3d4.(3G).4s            | b 4G   |  5/2 |              33417.9808    | L18847,L7185
                       |        |  7/2 |              33521.0904    | L18847,L7185
                       |        |  9/2 |              33618.9363    | L18847,L7185
                       |        | 11/2 |              33694.1421    | L18847,L7185
                       |        |      |                            |              
3d4.(3H).4s            | a 2H   |  9/2 |              34630.9154    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3P).4s          | a 2P   |  1/2 |              34659.2413    | L18847,L7185
                       |        |      |                            |              
3d4.(3H).4s            | a 2H   | 11/2 |              34812.9263    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3P).4s          | a 2P   |  3/2 |              35355.8964    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3F).4s          | b 2F   |  5/2 |              35569.1826    | L18847,L7185
                       |        |  7/2 |              35607.5091    | L18847,L7185
                       |        |      |                            |              
3d5                    | b 2H   |  9/2 |              35610.3087    | L18847,L7185
                       |        | 11/2 |              35707.4682    | L18847,L7185
                       |        |      |                            |              
3d5                    | a 2G   |  7/2 |              36101.5238    |       L18847
                       |        |  9/2 |              36272.5173    |       L18847
                       |        |      |                            |              
3d4.(3D).4s            | c 4D   |  7/2 |              38269.5694    |       L18847
                       |        |  5/2 |              38314.8348    |       L18847
                       |        |  3/2 |              38362.3838    |       L18847
                       |        |  1/2 |              38396.190     |       L18847
                       |        |      |                            |              
3d4.(3G).4s            | b 2G   |  7/2 |              38508.9221    | L18847,L7185
                       |        |  9/2 |              38563.0026    | L18847,L7185
                       |        |      |                            |              
3d4.(a 1G).4s          | c 2G   |  7/2 |              39683.7170    |       L18847
                       |        |      |                            |              
3d5                    | c 2F   |  5/2 |              39742.0403    |       L18847
                       |        |      |                            |              
3d4.(a 1G).4s          | c 2G   |  9/2 |              39824.3600    |       L18847
                       |        |      |                            |              
3d5                    | c 2F   |  7/2 |              39877.0347    |       L18847
                       |        |      |                            |              
3d4.(1I).4s            | b 2I   | 13/2 |              40202.1063    |       L18847
                       |        | 11/2 |              40228.2931    |       L18847
                       |        |      |                            |              
3d4.(a 1S).4s          | a 2S   |  1/2 |              40415.080     |       L18847
                       |        |      |                            |              
3d4.(3D).4s            | b 2D   |  5/2 |              42897.9553    |       L18847
                       |        |  3/2 |              42986.5955    |       L18847
                       |        |      |                            |              
3d5                    | b 2S   |  1/2 |              44307.077     |       L18847
                       |        |      |                            |              
3d4.(a 1D).4s          | c 2D   |  3/2 |              45669.3981    |       L18847
                       |        |  5/2 |              45730.5908    |       L18847
                       |        |      |                            |              
3d4.(5D).4p            | z 6F*  |  1/2 |              46823.3062    | L18847,L7185
                       |        |  3/2 |              46905.1373    | L18847,L7185
                       |        |  5/2 |              47040.2755    | L18847,L7185
                       |        |  7/2 |              47227.2186    | L18847,L7185
                       |        |      |                            |              
3d5                    | d 2D   |  5/2 |              47354.366     |       L18847
                       |        |  3/2 |              47372.435     |       L18847
                       |        |      |                            |              
3d4.(5D).4p            | z 6F*  |  9/2 |              47464.5570    | L18847,L7185
                       |        | 11/2 |              47751.6003    | L18847,L7185
                       |        |      |                            |              
3d4.(5D).4p            | z 6P*  |  3/2 |              48398.8721    | L18847,L7185
                       |        |  5/2 |              48491.0569    | L18847,L7185
                       |        |  7/2 |              48632.0590    | L18847,L7185
                       |        |      |                            |              
3d4.(5D).4p            | z 4P*  |  1/2 |              48749.2779    | L18847,L7185
                       |        |  3/2 |              49005.8471    | L18847,L7185
                       |        |      |                            |              
3d4.(5D).4p            | z 6D*  |  5/2 |              49351.7336    | L18847,L7185
                       |        |  1/2 |              49492.7111    | L18847,L7185
                       |        |  3/2 |              49564.5038    | L18847,L7185
                       |        |  7/2 |              49645.8058    | L18847,L7185
                       |        |      |                            |              
3d4.(5D).4p            | z 4P*  |  5/2 |              49706.2607    | L18847,L7185
                       |        |      |                            |              
3d4.(5D).4p            | z 6D*  |  9/2 |              49838.3799    | L18847,L7185
                       |        |      |                            |              
3d4.(1F).4s            | d 2F   |  7/2 |              50667.2252    |       L18847
                       |        |  5/2 |              50687.6217    |       L18847
                       |        |      |                            |              
3d4.(5D).4p            | z 4F*  |  3/2 |              51584.1004    | L18847,L7185
                       |        |  5/2 |              51669.4060    | L18847,L7185
                       |        |  7/2 |              51788.8149    | L18847,L7185
                       |        |  9/2 |              51942.6640    | L18847,L7185
                       |        |      |                            |              
3d5                    | d 2G   |  7/2 |              52297.7730    |       L18847
                       |        |  9/2 |              52320.978     |       L18847
                       |        |      |                            |              
3d3.4s2                | c 4F   |  3/2 |              53051.334     |       L18847
                       |        |  5/2 |              53271.007     |       L18847
                       |        |  7/2 |              53566.2511    |       L18847
                       |        |  9/2 |              53923.5169    |       L18847
                       |        |      |                            |              
3d4.(5D).4p            | z 4D*  |  1/2 |              54417.9549    | L18847,L7185
                       |        |  3/2 |              54499.4907    | L18847,L7185
                       |        |  5/2 |              54625.5946    | L18847,L7185
                       |        |  7/2 |              54784.4497    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3F).4s          | d 4F   |  9/2 |              54867.5086    |       L18847
                       |        |  3/2 |              54868.497     |       L18847
                       |        |  5/2 |              54883.481     |       L18847
                       |        |  7/2 |              54887.9858    |       L18847
                       |        |      |                            |              
3d4.(a 3P).4s          | c 4P   |  5/2 |              55023.0269    |       L18847
                       |        |  3/2 |              55398.6704    |       L18847
                       |        |  1/2 |              55626.093     |       L18847
                       |        |      |                            |              
3d4.(a 3P).4s          | b 2P   |  3/2 |              59130.325     |       L18847
                       |        |  1/2 |              59526.677     |       L18847
                       |        |      |                            |              
3d4.(a 3F).4s          | e 2F   |  7/2 |              59570.155     |       L18847
                       |        |  5/2 |              59577.687     |       L18847
                       |        |      |                            |              
