1s2.2s2              | 1S     |   0 |                  0     |     L7185
                     |        |     |                        |           
1s2.2s.2p            | 3P*    |   0 |             318030     |          
                     |        |   1 |             341120     |          
                     |        |   2 |             405020     |          
                     |        |     |                        |           
1s2.2s.2p            | 1P*    |   1 |             667080     |          
                     |        |     |                        |           
1s2.2p2              | 3P     |   0 |             864730     |          
                     |        |   1 |             911080     |          
                     |        |   2 |             947080     |          
                     |        |     |                        |           
1s2.2p2              | 1D     |   2 |            1051780     |          
                     |        |     |                        |           
1s2.2p2              | 1S     |   0 |            1254830     |          
                     |        |     |                        |           
1s2.2s.3s            | 3S     |   1 |            7463000     |          
                     |        |     |                        |           
1s2.2s.3p            | 3P*    |   1 |            7620000     |          
                     |        |     |                        |           
1s2.2s.3d            | 3D     |   2 |            7721000     |          
                     |        |   3 |            7733000     |          
                     |        |     |                        |           
1s2.2p.3p            | 3D     |   1 |            7975100     |          
                     |        |     |                        |           
1s2.2p.3p            | 1P     |   1 |            8022000     |          
                     |        |     |                        |           
1s2.2p.3p            | 3D     |   2 |            8023000     |          
                     |        |     |                        |           
1s2.2p.3p            | 3P     |   0 |            8045000     |          
                     |        |     |                        |           
1s2.2p.3p            | 3D     |   3 |            8087000     |          
                     |        |     |                        |           
1s2.2p.3p            | 3S     |   1 |            8108700     |          
                     |        |     |                        |           
1s2.2p.3p            | 3P     |   2 |            8109000     |          
                     |        |     |                        |           
1s2.2p.3d            | 3D*    |   2 |            8121000     |          
                     |        |   1 |            8134000     |          
                     |        |   3 |            8204000     |          
                     |        |     |                        |           
1s2.2p.3d            | 3P*    |   0 |            8219000     |          
                     |        |   2 |            8219000     |          
                     |        |   1 |            8219000     |          
                     |        |     |                        |           
1s2.2s.3s            | 1S     |   0 |            8241300     |          
                     |        |     |                        |           
1s2.2p.3d            | 1P*    |   1 |            8275000     |          
                     |        |     |                        |           
1s2.2p.3d            | 1F*    |   3 |            8275000     |          
