5s2.5p4                 | 3P     |   2 |                  0.0    |    L15024
                        |        |   0 |               9749.4    |    L12055
                        |        |   1 |              12902.0    |    L12055
                        |        |     |                         |           
5s2.5p4                 | 1D     |   2 |              20754.0    |    L12055
                        |        |     |                         |           
5s2.5p4                 | 1S     |   0 |              43279.4    |    L12055
                        |        |     |                         |           
5s.5p5                  | 3P*    |   2 |             114307.7    |    L12055
                        |        |   1 |             121242.5    |    L12055
                        |        |   0 |             128086.3    |    L12055
                        |        |     |                         |           
5s2.5p3.(4S*).5d        | 5D*    |   3 |             135979.9    |    L12055
                        |        |   2 |             136143.1    |    L12055
                        |        |   0 |             136625.7    |    L12055
                        |        |   4 |            (136858.0)   |    L12055
                        |        |   1 |             136868.6    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).5d        | 1P*    |   1 |             141402.9    |    L12055
                        |        |     |                         |           
5s2.5p3.(4S*).5d        | 3D*    |   2 |             142167.0    |    L12055
                        |        |   3 |             147695.5    |    L12055
                        |        |   1 |             148640.0    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).5d        | 3F*    |   2 |             150982.7    |    L12055
                        |        |   3 |             152776.7    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).5d        | 1S*    |   0 |             152832.1    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).5d        | 3G*    |   4 |            (154789.0)   |    L12055
                        |        |   3 |             155045.5    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).5d        | 3F*    |   4 |            (157759.0)   |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).5d        | 3G*    |   5 |            (160328.0)   |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).5d        | 1G*    |   4 |            (160985.0)   |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).5d        | 3D*    |   1 |             162425.9    |    L12055
                        |        |     |                         |           
5s2.5p3.(4S*).6s        | 5S*    |   2 |             164609.5    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).5d        | 1D*    |   2 |             166472.1    |    L12055
                        |        |     |                         |           
5s2.5p3.(4S*).6s        | 3S*    |   1 |             167553.8    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).5d        | 3P*    |   0 |             169843.8    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).5d        | 3D*    |   2 |             170401.9    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).5d        | 3P*    |   1 |             171449.5    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).5d        | 3D*    |   3 |             173942.4    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).5d        | 3F*    |   2 |             174718.7    |    L12055
                        |        |   3 |             174789.4    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).5d        | 3D*    |   2 |             179159.8    |    L12055
                        |        |     |                         |           
