2s                 | 2S     | 1/2 |                 0     |    L16264
                   |        |     |                       |           
2p                 | 2P*    | 1/2 |           (990450)    |    L10539
                   |        | 3/2 |          (4243300)    |    L10539
                   |        |     |                       |           
3s                 | 2S     | 1/2 |         (46399000)    |    L10539
                   |        |     |                       |           
3p                 | 2P*    | 1/2 |         (46679000)    |    L10539
                   |        | 3/2 |         (47659000)    |    L10539
                   |        |     |                       |           
3d                 | 2D     | 3/2 |         (47758000)    |    L10539
                   |        | 5/2 |         (48050000)    |    L10539
                   |        |     |                       |           
4s                 | 2S     | 1/2 |         (62382000)    |    L10539
                   |        |     |                       |           
4p                 | 2P*    | 1/2 |         (62497000)    |    L10539
                   |        | 3/2 |         (62909000)    |    L10539
                   |        |     |                       |           
4d                 | 2D     | 3/2 |         (62950000)    |    L10539
                   |        | 5/2 |         (63073000)    |    L10539
                   |        |     |                       |           
4f                 | 2F*    | 5/2 |         (63077000)    |    L10539
                   |        | 7/2 |         (63137000)    |    L10539
                   |        |     |                       |           
5s                 | 2S     | 1/2 |         (69695000)    |    L10539
                   |        |     |                       |           
5p                 | 2P*    | 1/2 |         (69753000)    |    L10539
                   |        | 3/2 |         (69963000)    |    L10539
                   |        |     |                       |           
5d                 | 2D     | 3/2 |         (69984000)    |    L10539
                   |        | 5/2 |         (70048000)    |    L10539
                   |        |     |                       |           
5f                 | 2F*    | 5/2 |         (70049000)    |    L10539
                   |        |     |                       |           
5d                 | 2F*    | 7/2 |         (70080000)    |    L10539
                   |        |     |                       |           
5g                 | 2G     | 7/2 |         (70081000)    |    L10539
                   |        | 9/2 |         (70099000)    |    L10539
