1s              | 2S     | 1/2 |                  0     |       L7188
                |        |     |                        |             
2p              | 2P*    | 1/2 |         (258556800)    |       L7188
                |        |     |                        |             
2s              | 2S     | 1/2 |         (258618250)    |       L7188
                |        |     |                        |             
2p              | 2P*    | 3/2 |         (262281800)    |       L7188
                |        |     |                        |             
3p              | 2P*    | 1/2 |         (307619400)    | L3620,L7188
                |        |     |                        |             
3s              | 2S     | 1/2 |         (307643100)    | L3620,L7188
                |        |     |                        |             
3d              | 2D     | 3/2 |         (308724340)    | L3620,L7188
                |        |     |                        |             
3p              | 2P*    | 3/2 |         (308726300)    | L3620,L7188
                |        |     |                        |             
3d              | 2D     | 5/2 |         (309064650)    | L3620,L7188
