3p6.3d10              | 1S          |   0 |                   0     |       L15024
                      |             |     |                         |              
3p6.3d9.4p            | (3/2,1/2)*  |   1 |            (5649700)    |        L8911
                      |             |     |                         |              
3p6.3d9.4p            | (5/2,3/2)*  |   1 |            (5700000)    |        L8911
                      |             |     |                         |              
3p6.3d9.4p            | (3/2,3/2)*  |   1 |            (5812600)    |        L8911
                      |             |     |                         |              
3p6.3d9.4d            | (5/2,5/2)   |   1 |            (6424500)    | L11350,L8911
                      |             |   2 |            (6453300)    | L11350,L8911
                      |             |     |                         |              
3p6.3d9.4d            | (3/2,3/2)   |   0 |            (6742800)    | L11350,L8911
                      |             |     |                         |              
3p6.3d9.4f            | (5/2,5/2)*  |   1 |            (7165900)    |        L8911
                      |             |     |                         |              
3p5.3d10.4s           | (3/2,1/2)*  |   1 |            (7217100)    |        L8911
                      |             |     |                         |              
3p6.3d9.4f            | (5/2,7/2)*  |   1 |            (7244800)    |        L8911
                      |             |     |                         |              
3p6.3d9.4f            | (3/2,5/2)*  |   1 |            (7431600)    |        L8911
                      |             |     |                         |              
3p5.3d10.4s           | (1/2,1/2)*  |   1 |            (7778500)    |        L8911
                      |             |     |                         |              
3p5.3d10.4d           | (3/2,3/2)*  |   1 |            (8525900)    |        L8911
                      |             |     |                         |              
3p5.3d10.4d           | (3/2,5/2)*  |   1 |            (8577800)    |        L8911
                      |             |     |                         |              
3p5.3d10.4d           | (1/2,3/2)*  |   1 |            (9108300)    |        L8911
                      |             |     |                         |              
3s.3d10.4p            | (1/2,1/2)*  |   1 |            (9415300)    |        L8911
                      |             |     |                         |              
3s.3d10.4p            | (1/2,3/2)*  |   1 |            (9586800)    |        L8911
