2p6.3s2             | 1S     |   0 |                 0     |    L10559
                    |        |     |                       |           
3s.3p               | 3P*    |   0 |            279816     |          
                    |        |   1 |            289401     |          
                    |        |   2 |            314753     |          
                    |        |     |                       |           
3s.3p               | 1P*    |   1 |            426987     |          
                    |        |     |                       |           
3p2                 | 3P     |   0 |            664977     |          
                    |        |     |                       |           
3p2                 | 1D     |   2 |            679710     |          
                    |        |     |                       |           
3p2                 | 3P     |   1 |            684689     |          
                    |        |   2 |            715608     |          
                    |        |     |                       |           
3p2                 | 1S     |   0 |            804139     |          
                    |        |     |                       |           
3s.3d               | 3D     |   1 |            818630     |          
                    |        |   2 |            820704     |          
                    |        |   3 |            823970     |          
                    |        |     |                       |           
3s.3d               | 1D     |   2 |            917020     |          
                    |        |     |                       |           
3p.3d               | 3F*    |   2 |           1118029     |          
                    |        |   3 |           1135602     |          
                    |        |     |                       |           
3p.3d               | 1D*    |   2 |           1149319     |          
                    |        |     |                       |           
3p.3d               | 3F*    |   4 |           1156841     |          
                    |        |     |                       |           
3p.3d               | 3D*    |   1 |           1183252     |          
                    |        |   2 |           1187907     |          
                    |        |   3 |           1205542     |          
                    |        |     |                       |           
3p.3d               | 3P*    |   0 |           1208022     |          
                    |        |   1 |           1208326     |          
                    |        |   2 |           1209104     |          
                    |        |     |                       |           
3p.3d               | 1F*    |   3 |           1284495     |          
                    |        |     |                       |           
3p.3d               | 1P*    |   1 |           1298970     |          
                    |        |     |                       |           
3d2                 | 3F     |   2 |           1653727     |          
                    |        |   3 |           1657191     |          
                    |        |   4 |           1661315     |          
                    |        |     |                       |           
3d2                 | 1G     |   4 |           1701113     |          
                    |        |     |                       |           
3s.4s               | 3S     |   1 |           2416400     |          
                    |        |     |                       |           
3s.4p               | 1P*    |   1 |           2572300     |          
                    |        |     |                       |           
3s.4d               | 3D     |   1 |           2742100     |          
                    |        |   2 |           2743500     |          
                    |        |   3 |           2745800     |          
                    |        |     |                       |           
3s.4f               | 3F*    |   2 |           2840800     |          
                    |        |   3 |           2841300     |          
                    |        |   4 |           2841800     |          
                    |        |     |                       |           
3p.4f               | 3G     |   3 |           3163600     |          
                    |        |     |                       |           
3p.4f               | 1F     |   3 |           3173800     |          
                    |        |     |                       |           
3p.4f               | 3G     |   4 |           3176000     |          
                    |        |     |                       |           
3p.4f               | 3F     |   2 |           3178500?    |          
                    |        |     |                       |           
3p.4f               | 3D     |   3 |           3193400     |          
                    |        |     |                       |           
3p.4f               | 3G     |   5 |           3202500     |          
                    |        |     |                       |           
3p.4f               | 3F     |   4 |           3202900     |          
                    |        |     |                       |           
3p.4f               | 3D     |   2 |           3217600     |          
                    |        |   1 |           3222900     |          
                    |        |     |                       |           
3p.4f               | 1G     |   4 |           3234300?    |          
                    |        |     |                       |           
3p.4f               | 1D     |   2 |           3240900?    |          
                    |        |     |                       |           
3s.5d               | 3D     |   1 |           3611000     |          
                    |        |   2 |           3611200     |          
                    |        |   3 |           3612400     |          
                    |        |     |                       |           
3s.5f               | 3F*    |   2 |           3656500     |          
                    |        |   3 |           3657100     |          
                    |        |   4 |           3657300     |          
