2s2.2p3             | 4S*    | 3/2 |                   0     |    L10559
                    |        |     |                         |           
2s2.2p3             | 2D*    | 3/2 |              170860     |          
                    |        | 5/2 |              230070     |          
                    |        |     |                         |           
2s2.2p3             | 2P*    | 1/2 |              327900     |          
                    |        | 3/2 |              446780     |          
                    |        |     |                         |           
2s.2p4              | 4P     | 5/2 |              900330     |          
                    |        | 3/2 |             1011650     |          
                    |        | 1/2 |             1036430     |          
                    |        |     |                         |           
2s.2p4              | 2D     | 3/2 |             1249110     |          
                    |        | 5/2 |             1283940     |          
                    |        |     |                         |           
2s.2p4              | 2S     | 1/2 |             1427080     |          
                    |        |     |                         |           
2s.2p4              | 2P     | 3/2 |             1485340     |          
                    |        | 1/2 |             1646680     |          
                    |        |     |                         |           
2p5                 | 2P*    | 3/2 |             2316720     |          
                    |        | 1/2 |             2492890     |          
