1s2.2s2               | 1S     |   0 |                   0     |    L10559
                      |        |     |                         |           
1s2.2s.2p             | 3P*    |   0 |              393900     |          
                      |        |   1 |              438970     |          
                      |        |   2 |              593290     |          
                      |        |     |                         |           
1s2.2s.2p             | 1P*    |   1 |              899390     |          
                      |        |     |                         |           
1s2.2p2               | 3P     |   0 |             1095600     |          
                      |        |   1 |             1223400     |          
                      |        |   2 |             1279600     |          
                      |        |     |                         |           
1s2.2p2               | 1D     |   2 |             1477200     |          
                      |        |     |                         |           
1s2.2p2               | 1S     |   0 |             1716100     |          
                      |        |     |                         |           
1s2.2s.3d             | 3D     |   3 |            11672000     |          
                      |        |     |                         |           
1s2.2p.3d             | 3F*    |   3 |            12156000     |          
                      |        |     |                         |           
1s2.2s.4f             | 3F*    |   4 |            15351000     |          
                      |        |     |                         |           
1s2.2p.4f             | 3G     |   4 |            15806000     |          
