3d10.4s2.4p           | 2P*    | 1/2 |               0.000    |    L12180
                      |        | 3/2 |             826.190    |          
                      |        |     |                        |           
4s2.5s                | 2S     | 1/2 |           24788.530    |          
                      |        |     |                        |           
4s2.5p                | 2P*    | 1/2 |           33044.05     |          
                      |        | 3/2 |           33155.07     |          
                      |        |     |                        |           
4s2.4d                | 2D     | 3/2 |           34781.66     |          
                      |        | 5/2 |           34787.85     |          
                      |        |     |                        |           
4s2.6s                | 2S     | 1/2 |           37584.77     |          
                      |        |     |                        |           
4s.4p2                | 4P     | 1/2 |           37975.768    |          
                      |        | 3/2 |           38341.722    |          
                      |        | 5/2 |           38914.786    |          
                      |        |     |                        |           
4s2.6p                | 2P*    | 1/2 |           40376.45     |          
                      |        | 3/2 |           40417.62     |          
                      |        |     |                        |           
4s2.5d                | 2D     | 3/2 |           40802.86     |          
                      |        | 5/2 |           40811.41     |          
                      |        |     |                        |           
4s2.4f                | 2F*    | 7/2 |           41454.18     |          
                      |        | 5/2 |           41454.18     |          
                      |        |     |                        |           
4s2.7s                | 2S     | 1/2 |           42158.77     |          
                      |        |     |                        |           
4s2.7p                | 2P*    | 1/2 |           43442.83     |          
                      |        | 3/2 |           43462.74     |          
                      |        |     |                        |           
4s2.6d                | 2D     | 3/2 |           43575.11     |          
                      |        | 5/2 |           43580.44     |          
                      |        |     |                        |           
4s2.5f                | 2F*    | 7/2 |           43955.06     |          
                      |        | 5/2 |           43955.06     |          
                      |        |     |                        |           
4s2.8s                | 2S     | 1/2 |           44332.27     |          
                      |        |     |                        |           
4s2.7d                | 2D     | 3/2 |           45071.75     |          
                      |        | 5/2 |           45075.73     |          
                      |        |     |                        |           
4s2.6f                | 2F*    | 7/2 |           45312.94     |          
                      |        | 5/2 |           45312.94     |          
                      |        |     |                        |           
4s2.9s                | 2S     | 1/2 |           45536.67     |          
                      |        |     |                        |           
4s2.8d                | 2D     | 3/2 |           45969.2      |          
                      |        | 5/2 |           45972.0      |          
                      |        |     |                        |           
4s2.7f                | 2F*    | 7/2 |           46130.89     |          
                      |        | 5/2 |           46130.89     |          
                      |        |     |                        |           
4s2.10s               | 2S     | 1/2 |           46274.4      |          
                      |        |     |                        |           
4s2.9d                | 2D     | 3/2 |           46547.9      |          
                      |        | 5/2 |           46549.0      |          
                      |        |     |                        |           
4s2.8f                | 2F*    | 7/2 |           46661.21     |          
                      |        | 5/2 |           46661.21     |          
