3d7                 | 4F     |  9/2 |                  0     |    L12180
                    |        |  7/2 |               2753     |          
                    |        |  5/2 |               4641     |          
                    |        |  3/2 |               5885     |          
                    |        |      |                        |           
3d7                 | 4P     |  5/2 |              26072     |          
                    |        |  3/2 |              26142     |          
                    |        |  1/2 |              27850     |          
                    |        |      |                        |           
3d7                 | 2G     |  9/2 |              27941     |          
                    |        |  7/2 |              30562     |          
                    |        |      |                        |           
3d7                 | 2P     |  3/2 |              33799     |          
                    |        |  1/2 |              36072     |          
                    |        |      |                        |           
3d7                 | 2H     | 11/2 |              37710     |          
                    |        |      |                        |           
3d7                 | 2D2    |  5/2 |              38580     |          
                    |        |      |                        |           
3d7                 | 2H     |  9/2 |              40229     |          
                    |        |      |                        |           
3d7                 | 2D2    |  3/2 |              42718     |          
                    |        |      |                        |           
3d7                 | 2F     |  5/2 |              61134     |          
                    |        |  7/2 |              62189     |          
                    |        |      |                        |           
3d7                 | 2D1    |  3/2 |              94873     |          
                    |        |  5/2 |              96280     |          
                    |        |      |                        |           
3d6.(5D).4p         | 6F*    |  7/2 |             494326     |          
                    |        |  5/2 |             494440?    |          
                    |        |  1/2 |             494482     |          
                    |        |  3/2 |             494485     |          
                    |        |  9/2 |             494690?    |          
                    |        |      |                        |           
3d6.(5D).4p         | 6P*    |  7/2 |             497349     |          
                    |        |  5/2 |             500456     |          
                    |        |      |                        |           
3d6.(5D).4p         | 4D*    |  7/2 |             500860     |          
                    |        |      |                        |           
3d6.(5D).4p         | 4F*    |  9/2 |             501754     |          
                    |        |      |                        |           
3d6.(5D).4p         | 4D*    |  5/2 |             502264     |          
                    |        |      |                        |           
3d6.(5D).4p         | 6P*    |  3/2 |             502569     |          
                    |        |      |                        |           
3d6.(5D).4p         | 4D*    |  3/2 |             503232     |          
                    |        |  1/2 |             503540     |          
                    |        |      |                        |           
3d6.(5D).4p         | 4F*    |  7/2 |             504279     |          
                    |        |  5/2 |             505926     |          
                    |        |  3/2 |             507030     |          
                    |        |      |                        |           
3d6.(5D).4p         | 4P*    |  5/2 |             508288     |          
                    |        |  3/2 |             509937     |          
                    |        |  1/2 |             510702     |          
                    |        |      |                        |           
3d6.(3P2).4p        | 4S*    |  3/2 |             523322     |          
                    |        |      |                        |           
3d6.(3H).4p         | 4G*    | 11/2 |             525209     |          
                    |        |  9/2 |             525794     |          
                    |        |      |                        |           
3d6.(3P2).4p        | 2D*    |  5/2 |             525918     |          
                    |        |      |                        |           
3d6.(3H).4p         | 4H*    |  7/2 |             525973     |          
                    |        |      |                        |           
3d6.(3H).4p         | 4I*    |  9/2 |             526292     |          
                    |        | 13/2 |             526392?    |          
                    |        |      |                        |           
3d6.(3H).4p         | 4G*    |  7/2 |             526708     |          
                    |        |      |                        |           
3d6.(3F2).4p        | 4G*    |  5/2 |             527077     |          
                    |        |      |                        |           
3d6.(3H).4p         | 2G*    |  9/2 |             528877     |          
                    |        |      |                        |           
3d6.(3F2).4p        | 4F*    |  5/2 |             529270     |          
                    |        |  7/2 |             529414     |          
                    |        |      |                        |           
