3s2                 | 1S     |   0 |                 0     |    L12180
                    |        |     |                       |           
3s.3p               | 3P*    |   0 |            310815     |          
                    |        |   1 |            323519     |          
                    |        |   2 |            359566     |          
                    |        |     |                       |           
3s.3p               | 1P*    |   1 |            480591     |          
                    |        |     |                       |           
3p2                 | 3P     |   0 |            739768     |          
                    |        |     |                       |           
3p2                 | 1D     |   2 |            764337     |          
                    |        |     |                       |           
3p2                 | 3P     |   1 |            769392     |          
                    |        |   2 |            812933     |          
                    |        |     |                       |           
3p2                 | 1S     |   0 |            908230     |          
                    |        |     |                       |           
3s.3d               | 3D     |   1 |            915622     |          
                    |        |   2 |            918903     |          
                    |        |   3 |            923833     |          
                    |        |     |                       |           
3s.3d               | 1D     |   2 |           1025102     |          
                    |        |     |                       |           
3p.3d               | 3F*    |   2 |           1248680     |          
                    |        |   3 |           1273370     |          
                    |        |     |                       |           
3p.3d               | 1D*    |   2 |           1289478     |          
                    |        |     |                       |           
3p.3d               | 3F*    |   4 |           1304060     |          
                    |        |     |                       |           
3p.3d               | 3D*    |   1 |           1321681     |          
                    |        |   2 |           1331885     |          
                    |        |   3 |           1354283     |          
                    |        |     |                       |           
3p.3d               | 3P*    |   1 |           1358005     |          
                    |        |   2 |           1359394     |          
                    |        |     |                       |           
3p.3d               | 1F*    |   3 |           1440365     |          
                    |        |     |                       |           
3p.3d               | 1P*    |   1 |           1456566     |          
                    |        |     |                       |           
3d2                 | 3F     |   3 |           1856190     |          
                    |        |   4 |           1862210     |          
                    |        |     |                       |           
3d2                 | 1G     |   4 |           1906040     |          
                    |        |     |                       |           
3s.4p               | 1P*    |   1 |           3084800     |          
                    |        |     |                       |           
3s.4d               | 3D     |   2 |           3273900     |          
                    |        |   3 |           3279300     |          
                    |        |     |                       |           
3s.4d               | 1D     |   2 |           3281700     |          
                    |        |     |                       |           
3s.4f               | 3F*    |   4 |           3390500     |          
                    |        |     |                       |           
3s.4f               | 1F*    |   3 |           3406700     |          
                    |        |     |                       |           
3p.4p               | 3D     |   3 |           3504500     |          
                    |        |     |                       |           
3p.4f               | 3G     |   5 |           3797800     |          
                    |        |     |                       |           
3p.4f               | 1G     |   4 |           3832800     |          
                    |        |     |                       |           
3s.5f               | 3F*    |   4 |           4392400     |          
