1s2.2s              | 2S     | 1/2 |                0     |     L7213
                    |        |     |                      |           
1s2.2p              | 2P*    | 1/2 |           499276     |          
                    |        | 3/2 |           814963     |          
                    |        |     |                      |           
1s2.3s              | 2S     | 1/2 |         14455000     |          
                    |        |     |                      |           
1s2.3p              | 2P*    | 1/2 |         14594000     |          
                    |        | 3/2 |         14686000     |          
                    |        |     |                      |           
1s2.3d              | 2D     | 3/2 |         14756000     |          
                    |        | 5/2 |         14781000     |          
                    |        |     |                      |           
1s2.4d              | 2D     | 3/2 |         19560000     |          
                    |        | 5/2 |         19570000     |          
                    |        |     |                      |           
1s2.4f              | 2F*    | 5/2 |         19594000     |          
                    |        | 7/2 |         19595000     |          
