5d2.6s2                | a 3F   |    2 |              0.00    |         L3466
                       |        |    3 |           2356.68    |         L3466
                       |        |    4 |           4567.64    |         L3466
                       |        |      |                      |               
5d2.6s2                | a 3P   |    0 |           5521.78    |         L3466
                       |        |      |                      |               
5d2.6s2                | a 1D   |    2 |           5638.62    |         L3466
                       |        |      |                      |               
5d2.6s2                | a 3P   |    1 |           6572.55    |         L3466
                       |        |    2 |           8983.75    |         L3466
                       |        |      |                      |               
5d2.6s2                | a 1G   |    4 |          10532.54    |         L3466
                       |        |      |                      |               
5d2.6s.(b 2D).6p       | z 3D*  |    1 |          14017.83    |         L3466
                       |        |      |                      |               
5d3.(b 4F).6s          | a 5F   |    1 |          14092.28    |         L3466
                       |        |      |                      |               
5d2.6s.(b 2D).6p       | z 3F*  |    2 |          14435.13    |         L3466
                       |        |    3 |          14541.68    |         L3466
                       |        |      |                      |               
5d3.(b 4F).6s          | a 5F   |    2 |          14740.68    |         L3466
                       |        |    3 |          15673.33    |         L3466
                       |        |      |                      |               
5d2.6s.(b 2D).6p       | z 3D*  |    2 |          16163.36    |         L3466
                       |        |      |                      |               
5d3.(b 4F).6s          | a 5F   |    4 |          16766.60    |         L3466
                       |        |    5 |          17901.28    |         L3466
                       |        |      |                      |               
5d2.6s.(a 4F).6p       | z 5G*  |    2 |          18011.05    |         L3466
                       |        |      |                      |               
5d2.6s.(b 2D).6p       | z 3P*  |    1 |          18143.37    |         L3466
                       |        |      |                      |               
5d2.6s.(b 2D).6p       | z 3F*  |    4 |          18224.99    |         L3466
                       |        |      |                      |               
5d2.6s.(b 2D).6p       | z 3P*  |    0 |          18270.11    |         L3466
                       |        |      |                      |               
5d2.6s.(b 2D).6p       | z 3D*  |    3 |          18381.49    |         L3466
                       |        |      |                      |               
5d2.6s.(a 4F).6p       | z 5G*  |    3 |          19292.69    |         L3466
                       |        |      |                      |               
5d2.6s.(b 2D).6p       | z 3P*  |    2 |          19791.30    |         L3466
                       |        |      |                      |               
5d3.(b 4P).6s          | a 5P   |    1 |          20784.87    |         L3466
                       |        |    2 |          20908.42    |         L3466
                       |        |      |                      |               
5d2.6s.(a 4F).6p       | z 5G*  |    4 |          20960.09    |         L3466
                       |        |      |                      |               
5d2.6s.(a 4F).6p       | z 5F*  |    1 |          21738.70    |         L3466
                       |        |      |                      |               
5d3.(b 4P).6s          | a 5P   |    3 |          22199.08    |         L3466
                       |        |      |                      |               
5d2.6s.(a 4F).6p       | z 5F*  |    2 |          22450.56    |         L3466
                       |        |      |                      |               
5d3.(b 4F).6s          | b 3F   |    3 |          22880.24    |         L3466
                       |        |      |                      |               
5d2.6s.(a 4F).6p       | z 5G*  |    5 |          22901.34    |         L3466
                       |        |      |                      |               
5d3.(b 4F).6s          | b 3F   |    4 |          23252.81    |         L3466
                       |        |    2 |          23327.71    |         L3466
                       |        |      |                      |               
5d2.6s.(a 4F).6p       | z 5F*  |    3 |          23448.61    |         L3466
                       |        |      |                      |               
5d2.6s.(b 2D).6p       | z 1F*  |    3 |          23644.74    |         L3466
                       |        |      |                      |               
5d3.( ).6s             | 240    |    5 |          24085.14    |         L3466
                       |        |      |                      |               
5d2.6s.(a 4F).6p       | z 5F*  |    4 |          24785.23    |         L3466
                       |        |      |                      |               
