5d10                | 1S          |   0 |                0.0    |    L3466 
                    |             |     |                       |           
5d9.6s              | (5/2,1/2)   |   3 |            42850.3    |    L3466 
                    |             |   2 |            46029.5    |    L3466 
                    |             |     |                       |           
5d9.6s              | (3/2,1/2)   |   1 |            58405.8    |    L3466 
                    |             |   2 |            61085.7    |    L3466 
                    |             |     |                       |           
5d8.6s2             | (5/2,5/2)   |   4 |            97893.8    |    L3466 
                    |             |     |                       |           
5d9.6p              | (5/2,1/2)*  |   2 |           103549.4    |    L3466 
                    |             |   3 |           105627.8    |    L3466 
                    |             |     |                       |           
5d8.6s2             | (5/2,5/2)   |   2 |           106027.5    |    L3466 
                    |             |     |                       |           
5d8.6s2             | (5/2,3/2)   |   3 |           112226.0    |    L3466 
                    |             |     |                       |           
5d9.6p              | (5/2,3/2)*  |   4 |           117994.5    |    L3466 
                    |             |   2 |           118548.0    |    L3466 
                    |             |     |                       |           
5d9.6p              | (3/2,1/2)*  |   1 |           118607.4    |    L3466 
                    |             |     |                       |           
5d8.6s2             | (5/2,3/2)   |   2 |           118926.5    |    L3466 
                    |             |     |                       |           
5d9.6p              | (3/2,1/2)*  |   2 |           120927.8    |    L3466 
                    |             |     |                       |           
5d9.6p              | (5/2,3/2)*  |   3 |           121602.0    |    L3466 
                    |             |     |                       |           
5d8.6s2             | (5/2,5/2)   |   0 |           122661.0    |    L3466 
                    |             |     |                       |           
5d8.6s2             | (5/2,3/2)   |   1 |           122734.9    |    L3466 
                    |             |   4 |           126468.3    |    L3466 
                    |             |     |                       |           
5d9.6p              | (5/2,3/2)*  |   1 |           126556.3    |    L3466 
                    |             |     |                       |           
5d9.6p              | (3/2,3/2)*  |   0 |           130702.4    |    L3466 
                    |             |     |                       |           
5d8.6s2             | (3/2,3/2)   |   2 |           133731.5    |    L3466 
                    |             |     |                       |           
5d9.6p              | (3/2,3/2)*  |   3 |           134588.0    |    L3466 
                    |             |   1 |           134998.7    |    L3466 
                    |             |   2 |           136479.0    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 47*         |   1 |           147142.4    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 48*         |   3 |           148426.0    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 13*         |   3 |           149717.3    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 14*         |   4 |           150276.0?   |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 15*         |   1 |           150278.7    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 16*         |   1 |           150857.0    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 17*         |   1 |           151997.5    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 18*         |   2 |           153254.6?   |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 19*         |   3 |           154213.9    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 49*         |   3 |           154717.9    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 20*         |   3 |           155796.1    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 21*         |   3 |           156580.0    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 50*         |   2 |           157877.2    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 22*         |   2 |           158204.9    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 51*         |   1 |           158835.8    |    L3466 
                    |             |     |                       |           
5d8.6s2             | (3/2,3/2)   |   0 |           158909.0    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 52*         |   2 |           159861.4    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 53*         |   3 |           160015.7    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 54*         |   1 |           160170.0    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 23*         |   2 |           160789.3    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 55*         |   1 |           160920.9    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 24*         |   4 |           161282.2?   |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 25*         |   2 |           161431.4    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 26*         |   3 |           161461.2    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 27*         |   4 |           162155.0?   |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 28*         |   2 |           162972.2    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 29*         |   4 |           163451.4    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 56*         |   1 |           163818.2    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 30*         |   2 |           164905.3    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 31*         |   3 |           165004.8?   |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 32*         |   3 |           166179.4    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 33*         |   2 |           166311.1    |    L3466 
                    |             |     |                       |           
