5s2.5p           | 2P*    | 1/2 |               0      |    L10105
                 |        | 3/2 |           12222.1    |    L10105
                 |        |     |                      |           
5s.5p2           | 4P     | 1/2 |           81018      |    L10821
                 |        | 3/2 |           85556      |    L10821
                 |        | 5/2 |           92558      |    L10821
                 |        |     |                      |           
5s.5p2           | 2D     | 3/2 |          108780.4    |    L10105
                 |        | 5/2 |          111831.2    |    L10105
                 |        |     |                      |           
5s.5p2           | 2P     | 1/2 |          125703.5    |    L10105
                 |        |     |                      |           
5s.5p2           | 2S     | 1/2 |          138328.3    |    L10105
                 |        |     |                      |           
5s.5p2           | 2P     | 3/2 |          139398.1    |    L10105
                 |        |     |                      |           
5s2.5d           | 2D     | 3/2 |          154049.5    |     L9194
                 |        | 5/2 |          155461.5    |     L9194
                 |        |     |                      |           
5s2.6s           | 2S     | 1/2 |          176814.2    |    L10105
                 |        |     |                      |           
5p3              | 2D*    | 3/2 |          204475      |     L9194
                 |        |     |                      |           
5p3              | 4S*    | 3/2 |          209983      |     L9194
                 |        |     |                      |           
5p3              | 2D*    | 5/2 |          210090      |     L9194
                 |        |     |                      |           
5s2.6p           | 2P*    | 1/2 |          211216      |     L9194
                 |        | 3/2 |          215053      |     L9194
                 |        |     |                      |           
5s.5p.(3P).5d    | 4F*    | 3/2 |          224082      |     L9194
                 |        | 5/2 |          226527      |     L9194
                 |        |     |                      |           
5p3              | 2P*    | 1/2 |          228924      |     L9194
                 |        |     |                      |           
5s.5p.(3P).5d    | 4F*    | 7/2 |          230309      |     L9194
                 |        |     |                      |           
5p3              | 2P*    | 3/2 |          233040      |     L9194
                 |        |     |                      |           
5s.5p.(3P).5d    | 4P*    | 5/2 |          236380      |     L9194
                 |        |     |                      |           
5s.5p.(3P).5d    | 4D*    | 3/2 |          237300      |     L9194
                 |        | 1/2 |          237450      |     L9194
                 |        | 7/2 |          244734      |     L9194
                 |        | 5/2 |          245331      |     L9194
                 |        |     |                      |           
5s.5p.(3P).5d    | 2F*    | 5/2 |          246171      |     L9194
                 |        |     |                      |           
5s.5p.(3P).5d    | 4P*    | 3/2 |          246967      |     L9194
                 |        | 1/2 |          247840      |     L9194
                 |        |     |                      |           
5s.5p.(3P).5d    | 2D*    | 3/2 |          248068      |     L9194
                 |        | 5/2 |          251761      |     L9194
                 |        |     |                      |           
5s.5p.(3P).5d    | 2F*    | 7/2 |          258571      |     L9194
                 |        |     |                      |           
5s.5p.(3P).6s    | 4P*    | 1/2 |          261367      |     L9194
                 |        | 3/2 |          264137      |     L9194
                 |        |     |                      |           
5s2.6d           | 2D     | 3/2 |         264428.      |    L10105
                 |        | 5/2 |         265083.      |    L10105
                 |        |     |                      |           
5s.5p.(3P).5d    | 2P*    | 3/2 |          266171      |     L9194
                 |        |     |                      |           
5s.5p.(3P).6s    | 2P*    | 1/2 |          268345      |     L9194
                 |        |     |                      |           
5s.5p.(3P).5d    | 2P*    | 1/2 |          274026      |     L9194
                 |        |     |                      |           
5s.5p.(3P).6s    | 4P*    | 5/2 |          274076      |     L9194
                 |        |     |                      |           
5s2.7s           | 2S     | 1/2 |         274857.      |    L10105
                 |        |     |                      |           
5s.5p.(1P).5d    | 2D*    | 3/2 |          277516      |     L9194
                 |        |     |                      |           
5s.5p.(1P).5d    | 2F*    | 7/2 |          278130      |     L9194
                 |        |     |                      |           
5s.5p.(1P).5d    | 2D*    | 5/2 |          278715      |     L9194
                 |        |     |                      |           
5s.5p.(1P).5d    | 2P*    | 1/2 |          280302      |     L9194
                 |        | 3/2 |          281053      |     L9194
                 |        |     |                      |           
5s.5p.(1P).5d    | 2F*    | 5/2 |          281342      |     L9194
                 |        |     |                      |           
5s.5p.(3P).6s    | 2P*    | 3/2 |          283800      |     L9194
                 |        |     |                      |           
5s.5p.(1P).6s    | 2P*    | 3/2 |          304616      |     L9194
                 |        | 1/2 |          304646      |     L9194
                 |        |     |                      |           
5s2.8s           | 2S     | 1/2 |         322324.      |    L10105
