5s2                | 1S     |   0 |                 0.0    |    L10105
                   |        |     |                        |           
5s.5p              | 3P*    |   0 |             85665.6    |    L10105
                   |        |   1 |             89261.7    |    L10105
                   |        |   2 |             99685.4    |    L10105
                   |        |     |                        |           
5s.5p              | 1P*    |   1 |            127423.8    |    L10105
                   |        |     |                        |           
5p2                | 3P     |   0 |            200084.8    |    L10105
                   |        |   1 |            208474.5    |    L10105
                   |        |     |                        |           
5p2                | 1D     |   2 |            209431.7    |    L10105
                   |        |     |                        |           
5p2                | 3P     |   2 |            221983.8    |    L10105
                   |        |     |                        |           
5p2                | 1S     |   0 |            245658.5    |     L9266
                   |        |     |                        |           
5s.5d              | 3D     |   1 |            251816.9    |    L10105
                   |        |   2 |            252540.3    |    L10105
                   |        |   3 |            253751.8    |    L10105
                   |        |     |                        |           
5s.5d              | 1D     |   2 |            274161.7    |    L10105
                   |        |     |                        |           
5s.6s              | 3S     |   1 |            296253.4    |    L10105
                   |        |     |                        |           
5s.6s              | 1S     |   0 |            305965.6    |    L10105
                   |        |     |                        |           
5s.6p              | 3P*    |   0 |            335737.6    |    L10105
                   |        |   1 |            336197.2    |    L10105
                   |        |   2 |            340462.4    |    L10105
                   |        |     |                        |           
5s.6p              | 1P*    |   1 |            341729.0    |    L10105
                   |        |     |                        |           
5p.5d              | 3F*    |   2 |            347472      |     L9266
                   |        |   3 |            353652      |     L9266
                   |        |     |                        |           
5p.5d              | 1D*    |   2 |            356797      |     L9266
                   |        |     |                        |           
5p.5d              | 3D*    |   1 |            361780      |     L9266
                   |        |     |                        |           
5p.5d              | 3F*    |   4 |            362500      |     L9266
                   |        |     |                        |           
5p.5d              | 3D*    |   2 |            366578      |     L9266
                   |        |   3 |            371695      |     L9266
                   |        |     |                        |           
5p.5d              | 3P*    |   0 |            373009      |     L9266
                   |        |   1 |            373131      |     L9266
                   |        |   2 |            373476      |     L9266
                   |        |     |                        |           
5p.5d              | 1F*    |   3 |            387975      |     L9266
                   |        |     |                        |           
5p.6s              | 3P*    |   0 |            402785      |     L9266
                   |        |   1 |            404136      |     L9266
                   |        |     |                        |           
5s.7s              | 3S     |   1 |            416534      |    L10105
                   |        |     |                        |           
5p.6s              | 3P*    |   2 |            417041      |     L9266
                   |        |     |                        |           
5p.6s              | 1P*    |   1 |            419603      |     L9266
                   |        |     |                        |           
5d9.5s2.5p         | 1P*    |   1 |            453180      |    L10105
                   |        |     |                        |           
5d9.5s2.5p         | 3D*    |   1 |            460632      |    L10105
