5s2.5p            | 2P*    |     1/2 |                0.000    |     L4218
                  |        |     3/2 |             2212.599    |    L15947
                  |        |         |                         |           
5s2.6s            | 2S     |     1/2 |            24372.957    |    L15947
                  |        |         |                         |           
5s2.6p            | 2P*    |     1/2 |            31816.982    |    L10358
                  |        |     3/2 |            32115.251    |    L10358
                  |        |         |                         |           
5s2.5d            | 2D     |     3/2 |            32892.230    |    L10358
                  |        |     5/2 |            32915.539    |    L10358
                  |        |         |                         |           
5s.5p2            | 4P     |     1/2 |            34977.678    |     L9805
                  |        |     3/2 |            36020.780    |     L9805
                  |        |         |                         |           
5s2.7s            | 2S     |     1/2 |            36301.864    |    L10358
                  |        |         |                         |           
5s.5p2            | 4P     |     5/2 |            37451.962    |     L9805
                  |        |         |                         |           
5s2.7p            | 2P*    |     1/2 |            38861.43     |     L4218
                  |        |     3/2 |            38972.90     |     L4218
                  |        |         |                         |           
5s2.6d            | 2D     |     3/2 |            39048.53     |     L4218
                  |        |     5/2 |            39098.38     |     L4218
                  |        |         |                         |           
5s2.4f            | 2F*    |     7/2 |            39707.59     |     L4218
                  |        |     5/2 |            39707.59     |     L4218
                  |        |         |                         |           
5s2.8s            | 2S     |     1/2 |            40636.98     |    L10358
                  |        |         |                         |           
5s2.8p            | 2P*    |     1/2 |            41827.10     |     L3466
                  |        |         |                         |           
5s2.7d            | 2D     |     3/2 |            41836.41     |     L4218
                  |        |     5/2 |            41861.96     |     L4218
                  |        |         |                         |           
5s2.8p            | 2P*    |     3/2 |            41881.44     |     L3466
                  |        |         |                         |           
5s2.5f            | 2F*    | 5/2,7/2 |            42220.25     |     L4218
                  |        |         |                         |           
5s2.9s            | 2S     |     1/2 |            42719.02     |     L4218
                  |        |         |                         |           
5s2.8d            | 2D     |     3/2 |            43335.93     |     L4218
                  |        |     5/2 |            43355.08     |     L4218
                  |        |         |                         |           
5s2.9p            | 2P*    |     1/2 |            43369.09     |     L3466
                  |        |     3/2 |            43399.53     |     L3466
                  |        |         |                         |           
5s2.6f            | 2F*    | 5/2,7/2 |            43584.66     |     L4218
                  |        |         |                         |           
5s2.10s           | 2S     |     1/2 |            43881.26     |     L4218
                  |        |         |                         |           
5s2.9d            | 2D     |     3/2 |            44234.70     |     L4218
                  |        |     5/2 |            44249.77     |     L4218
                  |        |         |                         |           
5s2.10p           | 2P*    |     1/2 |            44275.17     |     L3466
                  |        |     3/2 |            44294.13     |     L3466
                  |        |         |                         |           
5s2.7f            | 2F*    |     7/2 |            44406.31     |     L4218
                  |        |     5/2 |            44406.31     |     L4218
                  |        |         |                         |           
5s2.11s           | 2S     |     1/2 |            44595.86     |     L3466
                  |        |         |                         |           
5s2.10d           | 2D     |     3/2 |            44815.06     |     L3466
                  |        |     5/2 |            44827.02     |     L3466
                  |        |         |                         |           
