3p6.4s                | 2S     |     1/2 |                   0.0000      |             L7185
                      |        |         |                               |                   
3p6.4p                | 2P*    |     1/2 |               12985.185724    |             L8995
                      |        |     3/2 |               13042.896027    |             L8995
                      |        |         |                               |                   
3p6.5s                | 2S     |     1/2 |               21026.551       |             L1792
                      |        |         |                               |                   
3p6.3d                | 2D     |     5/2 |               21534.680       |             L1792
                      |        |     3/2 |               21536.988       |             L1792
                      |        |         |                               |                   
3p6.5p                | 2P*    |     1/2 |               24701.382       |             L1792
                      |        |     3/2 |               24720.139       |             L1792
                      |        |         |                               |                   
3p6.4d                | 2D     |     5/2 |               27397.077       |             L1792
                      |        |     3/2 |               27398.147       |             L1792
                      |        |         |                               |                   
3p6.6s                | 2S     |     1/2 |               27450.7104      |             L5770
                      |        |         |                               |                   
3p6.4f                | 2F*    |     5/2 |               28127.85        |             L6096
                      |        |     7/2 |               28127.85        |             L6096
                      |        |         |                               |                   
3p6.6p                | 2P*    |     1/2 |               28999.27        |             L6096
                      |        |     3/2 |               29007.71        |             L6096
                      |        |         |                               |                   
3p6.5d                | 2D     |     5/2 |               30185.2439      |             L5770
                      |        |     3/2 |               30185.7476      |             L5770
                      |        |         |                               |                   
3p6.7s                | 2S     |     1/2 |               30274.2487      |             L5770
                      |        |         |                               |                   
3p6.5f                | 2F*    |     7/2 |               30606.73        |             L6096
                      |        |     5/2 |               30606.73        |             L6096
                      |        |         |                               |                   
3p6.5g                | 2G     |     7/2 |               30617.31        |              L873
                      |        |     9/2 |               30617.31        |              L873
                      |        |         |                               |                   
3p6.7p                | 2P*    |     1/2 |               31069.90        |             L6096
                      |        |     3/2 |               31074.40        |             L6096
                      |        |         |                               |                   
3p6.6d                | 2D     |     5/2 |               31695.9005      |             L5770
                      |        |     3/2 |               31696.1661      |             L5770
                      |        |         |                               |                   
3p6.8s                | 2S     |     1/2 |               31765.3767      |             L5770
                      |        |         |                               |                   
3p6.6f                | 2F*    |     7/2 |               31953.17        |             L6096
                      |        |     5/2 |               31953.17        |             L6096
                      |        |         |                               |                   
3p6.8p                | 2P*    |     1/2 |               32227.44        |             L6096
                      |        |     3/2 |               32230.11        |             L6096
                      |        |         |                               |                   
3p6.7d                | 2D     |     5/2 |               32598.2881      |             L5451
                      |        |     3/2 |               32598.4437      |             L5451
                      |        |         |                               |                   
3p6.9s                | 2S     |     1/2 |               32648.3511      |             L5451
                      |        |         |                               |                   
