3s2               | 1S     |     0 |                0     |       L12392
                  |        |       |                      |              
3s.3p             | 3P*    |     0 |           128097     |       L10375
                  |        |     1 |           129209     |       L10375
                  |        |     2 |           131582     |       L10375
                  |        |       |                      |              
3s.3p             | 1P*    |     1 |           192537     |       L10375
                  |        |       |                      |              
3p2               | 1D     |     2 |           300317     |       L10375
                  |        |       |                      |              
3p2               | 3P     |     0 |           304820     |       L10375
                  |        |     1 |           306179     |       L10375
                  |        |     2 |           308756     |       L10375
                  |        |       |                      |              
3p2               | 1S     |     0 |           357590     |       L10375
                  |        |       |                      |              
3s.3d             | 3D     |     1 |           368127     |       L10375
                  |        |     2 |           368206     |       L10375
                  |        |     3 |           368337     |       L10375
                  |        |       |                      |              
3s.3d             | 1D     |     2 |           419030     |       L10375
                  |        |       |                      |              
3p.3d             | 3F*    |     2 |           503756     |       L10522
                  |        |     3 |           505184     |       L10375
                  |        |     4 |           506945     |       L10375
                  |        |       |                      |              
3p.3d             | 1D*    |     2 |           510993     |       L10375
                  |        |       |                      |              
3p.3d             | 3P*    |     2 |           535330     |       L10375
                  |        |     1 |           536211     |       L10375
                  |        |     0 |           537314     |       L10375
                  |        |       |                      |              
3p.3d             | 3D*    |     1 |           538541     |       L10375
                  |        |     2 |           539020     |       L10375
                  |        |     3 |           539175     |       L10375
                  |        |       |                      |              
3p.3d             | 1F*    |     3 |           576421     |       L10375
                  |        |       |                      |              
3p.3d             | 1P*    |     1 |           585418     |       L10375
                  |        |       |                      |              
3s.4s             | 3S     |     1 |           631861     |       L10375
                  |        |       |                      |              
3s.4s             | 1S     |     0 |           644451     |       L10375
                  |        |       |                      |              
3s.4p             | 1P*    |     1 |           695386     | L3851,L10375
                  |        |       |                      |              
3d2               | 3F     |     2 |           742660     |       L10375
                  |        |     3 |           742797     |       L10375
                  |        |     4 |           742952     |       L10375
                  |        |       |                      |              
3d2               | 1G     |     4 |           756866     |       L10375
                  |        |       |                      |              
3d2               | 1D     |     2 |           757420     |       L10375
                  |        |       |                      |              
3d2               | 3P     |     0 |           762399     |       L10375
                  |        |     1 |           762470     |       L10375
                  |        |     2 |           762534     |       L10375
                  |        |       |                      |              
3s.4d             | 3D     |     1 |           770344     | L3851,L10375
                  |        |     2 |           770430     | L3851,L10375
                  |        |     3 |           770580     | L3851,L10375
                  |        |       |                      |              
3s.4d             | 1D     |     2 |           773838     | L3851,L10375
                  |        |       |                      |              
3p.4s             | 3P*    |     0 |           794832     | L3851,L10375
                  |        |     1 |           795744     | L3851,L10375
                  |        |     2 |           798464     | L3851,L10375
                  |        |       |                      |              
3s.4f             | 3F*    |     2 |           801673     | L3851,L10375
                  |        |     3 |           801681     | L3851,L10375
                  |        |     4 |           801707     | L3851,L10375
                  |        |       |                      |              
3d2               | 1S     |     0 |           803924     |       L10375
                  |        |       |                      |              
3s.4f             | 1F*    |     3 |           809317     | L1558,L10375
                  |        |       |                      |              
3p.4p             | 3D     |     1 |           849452     | L3851,L10375
                  |        |     2 |           850484     | L3851,L10375
                  |        |     3 |           852919     | L1558,L10522
                  |        |       |                      |              
3p.4p             | 3P     |     0 |           855948     | L3851,L10375
                  |        |     1 |           856708     | L3851,L10375
                  |        |     2 |           858515     | L3851,L10375
                  |        |       |                      |              
3p.4p             | 3S     |     1 |           859252     | L3851,L10375
                  |        |       |                      |              
3s.5s             | 3S     |     1 |           885074     | L3851,L10375
                  |        |       |                      |              
3s.5s             | 1S     |     0 |           893057     | L3851,L10375
                  |        |       |                      |              
3s.5p             | 1P*    |     1 |           912950     | L3851,L10375
                  |        |       |                      |              
3s.5d             | 1D     |     2 |           947146     | L3851,L10375
                  |        |       |                      |              
3s.5d             | 3D     |     3 |           948489     | L3851,L10375
                  |        |     2 |           948518     | L3851,L10375
                  |        |     1 |           948543     | L3851,L10375
                  |        |       |                      |              
3s.5f             | 3F*    | 2,3,4 |           963810     | L3851,L10375
                  |        |       |                      |              
3s.5f             | 1F*    |     3 |           966546     | L3851,L10375
                  |        |       |                      |              
3s.6s             | 3S     |     1 |          1007471     | L3851,L10375
                  |        |       |                      |              
3s.6p             | 1P*    |     1 |          1022568     | L3851,L10375
                  |        |       |                      |              
3s.6d             | 3D     |     1 |          1042985     | L3851,L10375
                  |        |     2 |          1043002     | L3851,L10375
                  |        |     3 |          1043068     | L3851,L10375
                  |        |       |                      |              
3s.6f             | 3F*    | 2,3,4 |          1051486     | L3851,L10375
                  |        |       |                      |              
3s.7p             | 1P*    |     1 |          1087938     | L3851,L10375
                  |        |       |                      |              
3s.7d             | 3D     | 1,2,3 |          1099273     | L3851,L10375
                  |        |       |                      |              
3s.7f             | 3F*    | 2,3,4 |          1104101     | L3851,L10375
