1s              | 2S     |  1/2 |                     0.          |            
                |        |      |                                 |             
2p              | 2P*    |  1/2 |             (29831985.)         |       L7188
                |        |      |                                 |             
2s              | 2S     |  1/2 |             (29833524.)         |       L7188
                |        |      |                                 |             
2p              | 2P*    |  3/2 |             (29880265.)         |       L7188
                |        |      |                                 |             
3p              | 2P*    |  1/2 |             (35372800.)         | L7188,L3620
                |        |      |                                 |             
3s              | 2S     |  1/2 |             (35373271.)         | L7188,L3620
                |        |      |                                 |             
3d              | 2D     |  3/2 |              (35387084.44)      | L7188,L3620
                |        |      |                                 |             
3p              | 2P*    |  3/2 |              (35387109.6)       | L7188,L3620
                |        |      |                                 |             
3d              | 2D     |  5/2 |              (35391811.91)      | L7188,L3620
                |        |      |                                 |             
4p              | 2P*    |  1/2 |              (37310116.3)       | L7188,L3620
                |        |      |                                 |             
4s              | 2S     |  1/2 |              (37310316.0)       | L7188,L3620
                |        |      |                                 |             
4d              | 2D     |  3/2 |              (37316139.88)      | L7188,L3620
                |        |      |                                 |             
4p              | 2P*    |  3/2 |              (37316150.6)       | L7188,L3620
                |        |      |                                 |             
4f              | 2F*    |  5/2 |              (37318131.49)      | L7188,L3620
                |        |      |                                 |             
4d              | 2D     |  5/2 |              (37318135.08)      | L7188,L3620
                |        |      |                                 |             
4f              | 2F*    |  7/2 |              (37319126.90)      | L7188,L3620
                |        |      |                                 |             
5p              | 2P*    |  1/2 |              (38205977.5)       | L7188,L3620
                |        |      |                                 |             
5s              | 2S     |  1/2 |              (38206079.9)       | L7188,L3620
                |        |      |                                 |             
5d              | 2D     |  3/2 |              (38209060.22)      | L7188,L3620
                |        |      |                                 |             
5p              | 2P*    |  3/2 |              (38209065.8)       | L7188,L3620
                |        |      |                                 |             
5f              | 2F*    |  5/2 |              (38210079.96)      | L7188,L3620
                |        |      |                                 |             
5d              | 2D     |  5/2 |              (38210081.81)      | L7188,L3620
                |        |      |                                 |             
5g              | 2G     |  7/2 |              (38210588.758)     | L7188,L3620
                |        |      |                                 |             
5f              | 2F*    |  7/2 |              (38210589.72)      | L7188,L3620
                |        |      |                                 |             
5g              | 2G     |  9/2 |              (38210894.345)     | L7188,L3620
                |        |      |                                 |             
6p              | 2P*    |  1/2 |              (38692268.3)       | L7188,L3620
                |        |      |                                 |             
6s              | 2S     |  1/2 |              (38692327.6)       | L7188,L3620
                |        |      |                                 |             
6h              | 2H*    | 11/2 |              (38695230.538)     | L7188,L3620
                |        |      |                                 |             
7p              | 2P*    |  1/2 |              (38985324.6)       | L7188,L3620
                |        |      |                                 |             
7s              | 2S     |  1/2 |              (38985362.0)       | L7188,L3620
                |        |      |                                 |             
7i              | 2I     | 13/2 |              (38987242.5261)    | L7188,L3620
                |        |      |                                 |             
8p              | 2P*    |  1/2 |              (39175447.29)      | L7188,L3620
                |        |      |                                 |             
8s              | 2S     |  1/2 |              (39175472.3)       | L7188,L3620
                |        |      |                                 |             
8k              | 2K*    | 15/2 |              (39176758.4814)    | L7188,L3620
                |        |      |                                 |             
9p              | 2P*    |  1/2 |              (39305749.70)      | L7188,L3620
                |        |      |                                 |             
9s              | 2S     |  1/2 |              (39305767.27)      | L7188,L3620
                |        |      |                                 |             
9l              | 2L     | 17/2 |              (39306684.9669)    | L7188,L3620
                |        |      |                                 |             
10p             | 2P*    |  1/2 |              (39398927.92)      | L7188,L3620
                |        |      |                                 |             
10s             | 2S     |  1/2 |              (39398940.73)      | L7188,L3620
                |        |      |                                 |             
10m             | 2M*    | 19/2 |              (39399618.10755)   | L7188,L3620
                |        |      |                                 |             
11p             | 2P*    |  1/2 |              (39467853.08)      | L7188,L3620
                |        |      |                                 |             
11s             | 2S     |  1/2 |              (39467862.70)      | L7188,L3620
                |        |      |                                 |             
11n             | 2N     | 21/2 |              (39468376.77400)   | L7188,L3620
                |        |      |                                 |             
12p             | 2P*    |  1/2 |              (39520265.92)      | L7188,L3620
                |        |      |                                 |             
12s             | 2S     |  1/2 |              (39520273.33)      | L7188,L3620
                |        |      |                                 |             
12o             | 2O*    | 23/2 |              (39520672.61136)   | L7188,L3620
                |        |      |                                 |             
13p             | 2P*    |  1/2 |              (39561048.54)      | L7188,L3620
                |        |      |                                 |             
13s             | 2S     |  1/2 |              (39561054.37)      | L7188,L3620
                |        |      |                                 |             
13q             | 2Q     | 25/2 |              (39561370.61100)   | L7188,L3620
