1s2                | 1S     |   0 |                   0      |     L8473
                   |        |     |                          |           
1s.2s              | 3S     |   1 |           (28005899)     |     L8473
                   |        |     |                          |           
1s.2p              | 3P*    |   0 |           (28166731)     |     L8473
                   |        |   1 |           (28173110)     |     L8473
                   |        |     |                          |           
1s.2s              | 1S     |   0 |           (28180867)     |     L8473
                   |        |     |                          |           
1s.2p              | 3P*    |   2 |           (28201500)     |     L8473
                   |        |     |                          |           
1s.2p              | 1P*    |   1 |           (28314166)     |     L8473
                   |        |     |                          |           
1s.3s              | 3S     |   1 |           (33151400)     |     L7139
                   |        |     |                          |           
1s.3p              | 3P*    |   0 |           (33195600)     |     L7139
                   |        |   1 |           (33197559)     |     L7139
                   |        |     |                          |           
1s.3s              | 1S     |   0 |           (33197700)     |     L7139
                   |        |     |                          |           
1s.3p              | 3P*    |   2 |           (33205986)     |     L7139
                   |        |     |                          |           
1s.3d              | 3D     |   1 |           (33230648)     |     L7139
                   |        |   2 |           (33230700)     |     L7139
                   |        |   3 |           (33234084)     |     L7139
                   |        |     |                          |           
1s.3d              | 1D     |   2 |           (33235300)     |     L7139
                   |        |     |                          |           
1s.3p              | 1P*    |   1 |           (33236700)     |     L7139
                   |        |     |                          |           
1s.4s              | 3S     |   1 |           (34928800)     |     L7139
                   |        |     |                          |           
1s.4p              | 3P*    |   0 |           (34947500)     |     L7139
                   |        |     |                          |           
1s.4s              | 1S     |   0 |           (34948300)     |     L7139
                   |        |     |                          |           
1s.4p              | 3P*    |   1 |           (34948325)     |     L7139
                   |        |   2 |           (34951879)     |     L7139
                   |        |     |                          |           
1s.4d              | 3D     |   1 |           (34962178)     |     L7139
                   |        |   2 |           (34962200)     |     L7139
                   |        |   3 |           (34963624)     |     L7139
                   |        |     |                          |           
1s.4d              | 1D     |   2 |           (34964200)     |     L7139
                   |        |     |                          |           
1s.4p              | 1P*    |   1 |           (34964700)     |     L7139
                   |        |     |                          |           
1s.5s              | 3S     |   1 |           (35746600)     |     L7139
                   |        |     |                          |           
1s.5p              | 3P*    |   0 |           (35756100)     |     L7139
                   |        |     |                          |           
1s.5s              | 1S     |   0 |           (35756500)     |     L7139
                   |        |     |                          |           
1s.5p              | 3P*    |   1 |           (35756522)     |     L7139
                   |        |   2 |           (35758341)     |     L7139
                   |        |     |                          |           
1s.5d              | 3D     |   1 |           (35763589)     |     L7139
                   |        |   2 |           (35763600)     |     L7139
                   |        |   3 |           (35764329)     |     L7139
                   |        |     |                          |           
1s.5d              | 1D     |   2 |           (35764600)     |     L7139
                   |        |     |                          |           
1s.5p              | 1P*    |   1 |           (35764900)     |     L7139
