2s2.2p6                  | 1S          |   0 |                   0     |    L12196
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).3s    | (3/2,1/2)*  |   2 |            13300650     |          
                         |             |   1 |            13326600     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).3p    | (3/2,1/2)   |   1 |            13713400     |          
                         |             |   2 |            13738400     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).3s    | (1/2,1/2)*  |   0 |            13748300     |          
                         |             |   1 |            13761000     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).3p    | (3/2,3/2)   |   3 |            13831400     |          
                         |             |   1 |            13836100     |          
                         |             |   2 |            13870500     |          
                         |             |   0 |            14004500     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).3p    | (1/2,1/2)   |   1 |            14175300     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).3p    | (1/2,3/2)   |   1 |            14286900     |          
                         |             |   2 |            14296600     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).3d    | (3/2,3/2)*  |   0 |            14342000     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).3p    | (1/2,1/2)   |   0 |            14347300     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).3d    | (3/2,3/2)*  |   1 |            14369600     |          
                         |             |   3 |            14394600     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).3d    | (3/2,5/2)*  |   4 |            14399100     |          
                         |             |   2 |            14401210     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).3d    | (3/2,3/2)*  |   2 |            14424400     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).3d    | (3/2,5/2)*  |   3 |            14448400     |          
                         |             |   1 |            14537600     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).3d    | (1/2,3/2)*  |   2 |            14843100     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).3d    | (1/2,5/2)*  |   2 |            14861300     |          
                         |             |   3 |            14872800     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).3d    | (1/2,3/2)*  |   1 |            14931400     |          
                         |             |     |                         |           
2s.2p6.3p                | (1/2,1/2)*  |   1 |            15661200     |          
                         |             |     |                         |           
2s.2p6.3p                | (1/2,3/2)*  |   1 |            15784100     |          
                         |             |     |                         |           
2s.2p6.3d                | (1/2,5/2)   |   2 |            16383200     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).4s    | (3/2,1/2)*  |   1 |            18039500     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).4d    | (3/2,3/2)*  |   1 |            18449000     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).4s    | (1/2,1/2)*  |   1 |            18477100     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).4d    | (3/2,5/2)*  |   1 |            18516800     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).4d    | (1/2,3/2)*  |   1 |            18943000     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).5s    | (3/2,1/2)*  |   1 |            20110200     |          
                         |             |     |                         |           
2s.2p6.4p                | (1/2,1/2)*  |   1 |            20128000     |          
                         |             |     |                         |           
2s.2p6.4p                | (1/2,3/2)*  |   1 |            20167400     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).5d    | (3/2,5/2)*  |   1 |            20357100     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).5d    | (1/2,3/2)*  |   1 |            20794300     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).6d    | (3/2,5/2)*  |   1 |            21357900     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).6d    | (1/2,3/2)*  |   1 |            21795000     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).7d    | (3/2,5/2)*  |   1 |            21955300     |          
                         |             |     |                         |           
2s.2p6.5p                | (1/2,1/2)*  |   1 |            22121400     |          
                         |             |     |                         |           
2s.2p6.5p                | (1/2,3/2)*  |   1 |            22141500     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).8d    | (3/2,5/2)*  |   1 |            22343400     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).7d    | (1/2,3/2)*  |   1 |            22398900     |          
                         |             |     |                         |           
2s2.2p5.(2P*<3/2>).9d    | (3/2,5/2)*  |   1 |            22606500     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).8d    | (1/2,3/2)*  |   1 |            22793600     |          
                         |             |     |                         |           
2s2.2p5.(2P*<1/2>).9d    | (1/2,3/2)*  |   1 |            23045700     |          
