1s2                 | 1S     |   0 |                  0.00     |     L3462
                    |        |     |                           |           
1s.2s               | 3S     |   1 |             476034.98     |          
                    |        |     |                           |           
1s.2s               | 1S     |   0 |             491374.6      |          
                    |        |     |                           |           
1s.2p               | 3P*    |   1 |             494261.17     |          
                    |        |   2 |             494263.44     |          
                    |        |   0 |             494266.57     |          
                    |        |     |                           |           
1s.2p               | 1P*    |   1 |             501808.59     |          
                    |        |     |                           |           
1s.3s               | 3S     |   1 |             554754.45     |          
                    |        |     |                           |           
1s.3s               | 1S     |   0 |             558777.88     |          
                    |        |     |                           |           
1s.3p               | 3P*    |   1 |             559500.35     |          
                    |        |   2 |             559501.42     |          
                    |        |   0 |             559502.32     |          
                    |        |     |                           |           
1s.3d               | 3D     |   2 |             561243.15     |          
                    |        |   3 |             561243.77     |          
                    |        |   1 |             561244.30     |          
                    |        |     |                           |           
1s.3d               | 1D     |   2 |             561273.62     |          
                    |        |     |                           |           
1s.3p               | 1P*    |   1 |             561752.82     |          
                    |        |     |                           |           
1s.4s               | 3S     |   1 |             579981.33     |          
                    |        |     |                           |           
1s.4s               | 1S     |   0 |             581596.77     |          
                    |        |     |                           |           
1s.4p               | 3P*    |   0 |             581885.58     |          
                    |        |   1 |             581885.98     |          
                    |        |   2 |             581886.70     |          
                    |        |     |                           |           
1s.4d               | 3D     |   1 |             582613.02     |          
                    |        |   2 |             582613.41     |          
                    |        |   3 |             582614.07     |          
                    |        |     |                           |           
1s.4d               | 1D     |   2 |             582630.95     |          
                    |        |     |                           |           
1s.4f               | 3F*    |   4 |             582642.97     |          
                    |        |   3 |             582642.97     |          
                    |        |   2 |             582642.97     |          
                    |        |     |                           |           
1s.4f               | 1F*    |   3 |             582644.04     |          
                    |        |     |                           |           
1s.4p               | 1P*    |   1 |             582830.11     |          
                    |        |     |                           |           
1s.5s               | 3S     |   1 |             591184.26     |          
                    |        |     |                           |           
1s.5s               | 1S     |   0 |             591989.55     |          
                    |        |     |                           |           
1s.5p               | 3P*    |   0 |             592133.65     |          
                    |        |   1 |             592134.03     |          
                    |        |   2 |             592134.70     |          
                    |        |     |                           |           
1s.5d               | 3D     |   1 |             592503.70     |          
                    |        |   2 |             592504.09     |          
                    |        |   3 |             592504.75     |          
                    |        |     |                           |           
1s.5d               | 1D     |   2 |             592514.43     |          
                    |        |     |                           |           
1s.5f               | 3F*    |   4 |             592520.11     |          
                    |        |   3 |             592520.11     |          
                    |        |   2 |             592520.11     |          
                    |        |     |                           |           
1s.5f               | 1F*    |   3 |             592521.11     |          
                    |        |     |                           |           
1s.5p               | 1P*    |   1 |             592634.91     |          
                    |        |     |                           |           
1s.6s               | 3S     |   1 |             597121.95     |          
                    |        |     |                           |           
1s.6s               | 1S     |   0 |             597580.53     |          
                    |        |     |                           |           
1s.6p               | 3P*    |   0 |             597662.35     |          
                    |        |   1 |             597662.73     |          
                    |        |   2 |             597663.40     |          
                    |        |     |                           |           
1s.6p               | 1P*    |   1 |            597836.        |          
                    |        |     |                           |           
1s.6d               | 3D     |   1 |             597875.55     |          
                    |        |   2 |             597875.94     |          
                    |        |   3 |             597876.60     |          
                    |        |     |                           |           
1s.6d               | 1D     |   2 |             597882.52     |          
                    |        |     |                           |           
1s.6f               | 3F*    |   2 |             597885.43     |          
                    |        |   3 |             597885.43     |          
                    |        |   4 |             597885.43     |          
                    |        |     |                           |           
1s.6f               | 1F*    |   3 |             597886.48     |          
                    |        |     |                           |           
1s.7s               | 3S     |   1 |             600643.90     |          
                    |        |     |                           |           
1s.7s               | 1S     |   0 |            600930.        |          
                    |        |     |                           |           
1s.7p               | 1P*    |   1 |            600998.        |          
                    |        |     |                           |           
1s.7d               | 3D     |   1 |             601114.06     |          
                    |        |   2 |             601114.45     |          
                    |        |   3 |             601115.11     |          
                    |        |     |                           |           
1s.7d               | 1D     |   2 |             601119.02     |          
                    |        |     |                           |           
1s.7f               | 3F*    |   4 |             601120.4      |          
                    |        |   3 |             601120.4      |          
                    |        |   2 |             601120.4      |          
                    |        |     |                           |           
1s.7f               | 1F*    |   3 |             601121.55     |          
                    |        |     |                           |           
1s.8s               | 3S     |   1 |             602902.98     |          
                    |        |     |                           |           
1s.8d               | 3D     |   1 |             603215.82     |          
                    |        |   2 |             603216.21     |          
                    |        |   3 |             603216.87     |          
                    |        |     |                           |           
1s.8d               | 1D     |   2 |             603219.50     |          
                    |        |     |                           |           
1s.8f               | 3F*    |   4 |             603220.0      |          
                    |        |   3 |             603220.0      |          
                    |        |   2 |             603220.0      |          
                    |        |     |                           |           
1s.8f               | 1F*    |   3 |             603221.21     |          
                    |        |     |                           |           
1s.9f               | 3F*    |   2 |             604659.55     |          
                    |        |   3 |             604659.55     |          
                    |        |   4 |             604659.55     |          
                    |        |     |                           |           
1s.9f               | 1F*    |   3 |             604660.70     |          
                    |        |     |                           |           
1s.10f              | 3F*    |   2 |             605689.4      |          
                    |        |   3 |             605689.4      |          
                    |        |   4 |             605689.4      |          
                    |        |     |                           |           
1s.10f              | 1F*    |   3 |             605690.5      |          
