4f14.6s            | 2S     | 1/2 |              0.0     |     L3974
                   |        |     |                      |           
4f14.5d            | 2D     | 3/2 |           5707.6     |          
                   |        | 5/2 |           8647.8     |          
                   |        |     |                      |           
4f14.6p            | 2P*    | 1/2 |          38400.61    |          
                   |        | 3/2 |          44705.21    |          
                   |        |     |                      |           
4f14.7s            | 2S     | 1/2 |          86681.21    |          
                   |        |     |                      |           
4f14.6d            | 2D     | 3/2 |          92321.6     |          
                   |        | 5/2 |          93107.6     |          
                   |        |     |                      |           
4f14.7p            | 2P*    | 1/2 |         100357.09    |          
                   |        | 3/2 |         102810.82    |          
                   |        |     |                      |           
4f14.5f            | 2F*    | 5/2 |         105590.6     |          
                   |        | 7/2 |         105704.1     |          
                   |        |     |                      |           
4f14.8s            | 2S     | 1/2 |         119784.75    |          
                   |        |     |                      |           
4f14.7d            | 2D     | 3/2 |         122622.5     |          
                   |        | 5/2 |         122981.0     |          
                   |        |     |                      |           
                   | *      | 5/2 |         128057.3     |          
                   |        |     |                      |           
4f14.6f            | 2F*    | 7/2 |         128799.8     |          
                   |        | 5/2 |         129053.2     |          
                   |        |     |                      |           
4f14.5g            | 2G     | 7/2 |         129105.4     |          
                   |        | 9/2 |         129106.3     |          
                   |        |     |                      |           
4f14.9s            | 2S     | 1/2 |         136209.86    |          
                   |        |     |                      |           
4f14.7f            | 2F*    | 5/2 |         141069.6     |          
                   |        | 7/2 |         141092.2     |          
                   |        |     |                      |           
4f14.10s           | 2S     | 1/2 |         145587.3     |          
                   |        |     |                      |           
4f14.8f            | 2F*    | 5/2 |         148513.8     |          
                   |        | 7/2 |         148530.0     |          
                   |        |     |                      |           
4f14.9f            | 2F*    | 5/2 |         153343.6     |          
                   |        | 7/2 |         153354.5     |          
