1s2.2s2             | 1S     |   0 |                 0     |     L4995
                    |        |     |                       |           
1s2.2s.2p           | 3P*    |   0 |            140504     |          
                    |        |   1 |            141631     |          
                    |        |   2 |            144091     |          
                    |        |     |                       |           
1s2.2s.2p           | 1P*    |   1 |            271687     |          
                    |        |     |                       |           
1s2.2p2             | 3P     |   0 |            365856     |          
                    |        |   1 |            367159     |          
                    |        |   2 |            369330     |          
                    |        |     |                       |           
1s2.2p2             | 1D     |   2 |            405100     |          
                    |        |     |                       |           
1s2.2p2             | 1S     |   0 |            499633     |          
                    |        |     |                       |           
1s2.2s.3s           | 3S     |   1 |           1532450     |          
                    |        |     |                       |           
1s2.2s.3s           | 1S     |   0 |           1558080     |          
                    |        |     |                       |           
1s2.2s.3p           | 1P*    |   1 |           1593600     |          
                    |        |     |                       |           
1s2.2s.3p           | 3P*    |   1 |           1597500     |          
                    |        |   0 |           1597500     |          
                    |        |   2 |           1597500     |          
                    |        |     |                       |           
1s2.2s.3d           | 3D     |   1 |           1631040     |          
                    |        |   2 |           1631170     |          
                    |        |   3 |           1631320     |          
                    |        |     |                       |           
1s2.2s.3d           | 1D     |   2 |           1654580     |          
                    |        |     |                       |           
1s2.2p.3s           | 3P*    |   0 |           1710140     |          
                    |        |   1 |           1711250     |          
                    |        |   2 |           1713900     |          
                    |        |     |                       |           
1s2.2p.3s           | 1P*    |   1 |           1743040     |          
                    |        |     |                       |           
1s2.2p.3p           | 1P     |   1 |           1748120     |          
                    |        |     |                       |           
1s2.2p.3p           | 3D     |   1 |           1755470?    |          
                    |        |   2 |           1756470?    |          
                    |        |   3 |           1758970     |          
                    |        |     |                       |           
1s2.2p.3p           | 3S     |   1 |           1770380     |          
                    |        |     |                       |           
1s2.2p.3p           | 3P     |   1 |           1778690     |          
                    |        |   2 |           1779990     |          
                    |        |     |                       |           
1s2.2p.3d           | 1D*    |   2 |           1789640     |          
                    |        |     |                       |           
1s2.2p.3p           | 1D     |   2 |           1795870     |          
                    |        |     |                       |           
1s2.2p.3d           | 3D*    |   1 |           1807320     |          
                    |        |   2 |           1807860     |          
                    |        |   3 |           1808860     |          
                    |        |     |                       |           
1s2.2p.3d           | 3P*    |   2 |           1815220     |          
                    |        |   1 |           1816210     |          
                    |        |   0 |           1816730     |          
                    |        |     |                       |           
1s2.2p.3d           | 1F*    |   3 |           1834690     |          
                    |        |     |                       |           
1s2.2p.3d           | 1P*    |   1 |           1841560     |          
                    |        |     |                       |           
1s2.2s.4p           | 1P*    |   1 |           2068680     |          
                    |        |     |                       |           
1s2.2s.4d           | 3D     |   2 |           2079970     |          
                    |        |   1 |           2079970     |          
                    |        |   3 |           2080050     |          
                    |        |     |                       |           
1s2.2s.4d           | 1D     |   2 |           2087890     |          
                    |        |     |                       |           
1s2.2p.4p           | 3D     |   3 |           2229730     |          
                    |        |     |                       |           
1s2.2p.4p           | 3P     |   2 |           2235350     |          
                    |        |     |                       |           
1s2.2p.4p           | 1D     |   2 |           2241080     |          
                    |        |     |                       |           
1s2.2p.4d           | 1D*    |   2 |           2241210     |          
                    |        |     |                       |           
1s2.2p.4d           | 3D*    |   3 |           2248250     |          
                    |        |     |                       |           
1s2.2p.4d           | 3P*    |   2 |           2249450     |          
                    |        |   1 |           2249970     |          
                    |        |     |                       |           
1s2.2p.4d           | 1F*    |   3 |           2256570     |          
                    |        |     |                       |           
1s2.2p.4d           | 1P*    |   1 |           2258310     |          
                    |        |     |                       |           
1s2.2s.5p           | 1P*    |   1 |           2280870     |          
                    |        |     |                       |           
1s2.2s.5d           | 3D     |   3 |           2284920     |          
                    |        |   2 |           2284920     |          
                    |        |     |                       |           
1s2.2s.5d           | 1D     |   2 |           2288380     |          
                    |        |     |                       |           
1s2.2s.6p           | 1P*    |   1 |           2392170     |          
                    |        |     |                       |           
1s2.2s.6d           | 3D     |   3 |           2395290     |          
                    |        |   2 |           2395290     |          
                    |        |     |                       |           
1s2.2s.6d           | 1D     |   2 |           2397490     |          
                    |        |     |                       |           
1s2.2p.5p           | 3P     |   2 |           2443950     |          
                    |        |     |                       |           
1s2.2p.5p           | 1D     |   2 |           2446550     |          
                    |        |     |                       |           
1s2.2p.5d           | 3D*    |   3 |           2451620     |          
                    |        |     |                       |           
1s2.2p.5d           | 1F*    |   3 |           2454530     |          
                    |        |     |                       |           
1s2.2s.7p           | 1P*    |   1 |           2460750     |          
                    |        |     |                       |           
1s2.2s.7d           | 3D     |   3 |           2462300     |          
                    |        |   2 |           2462300     |          
                    |        |     |                       |           
1s2.2s.7d           | 1D     |   2 |           2462990     |          
                    |        |     |                       |           
1s2.2p.6d           | 1F*    |   3 |           2563060?    |          
                    |        |     |                       |           
1s2.2p.7d           | 1F*    |   3 |           2628160?    |          
