2s2.2p3           | 4S*    | 3/2 |                   0     |     L7185
                  |        |     |                         |           
2s2.2p3           | 2D*    | 3/2 |              131770     |          
                  |        | 5/2 |              162450     |          
                  |        |     |                         |           
2s2.2p3           | 2P*    | 1/2 |              242110     |          
                  |        | 3/2 |              291730     |          
                  |        |     |                         |           
2s.2p4            | 4P     | 5/2 |              709070     |          
                  |        | 3/2 |              765760     |          
                  |        | 1/2 |              785670     |          
                  |        |     |                         |           
2s.2p4            | 2D     | 3/2 |              981160     |          
                  |        | 5/2 |              992600     |          
                  |        |     |                         |           
2s.2p4            | 2S     | 1/2 |             1126740     |          
                  |        |     |                         |           
2s.2p4            | 2P     | 3/2 |             1170820     |          
                  |        | 1/2 |             1252090     |          
                  |        |     |                         |           
2p5               | 2P*    | 3/2 |             1844360     |          
                  |        | 1/2 |             1934390     |          
                  |        |     |                         |           
2s2.2p2.(3P).3d   | 4P     | 5/2 |             7093200?    |          
                  |        | 3/2 |             7093200?    |          
