4d5.(6S).5s         | a 7S   |   3 |              0.000    |    L10502
                    |        |     |                       |           
4d5.(6S).5s         | a 5S   |   2 |          10768.332    |          
                    |        |     |                       |           
4d4.5s2             | a 5D   |   0 |          10965.947    |          
                    |        |   1 |          11142.784    |          
                    |        |   2 |          11454.362    |          
                    |        |   3 |          11858.498    |          
                    |        |   4 |          12346.280    |          
                    |        |     |                       |           
4d5.(4G).5s         | a 5G   |   2 |          16641.081    |          
                    |        |   3 |          16692.905    |          
                    |        |   4 |          16747.720    |          
                    |        |   6 |          16783.856    |          
                    |        |   5 |          16784.522    |          
                    |        |     |                       |           
4d5.(4P).5s         | a 5P   |   3 |          18229.152    |          
                    |        |   2 |          18356.491    |          
                    |        |   1 |          18479.582    |          
                    |        |     |                       |           
4d5.(4D).5s         | b 5D   |   0 |          19969.847    |          
                    |        |   1 |          20130.313    |          
                    |        |   4 |          20157.802    |          
                    |        |   2 |          20280.968    |          
                    |        |   3 |          20350.507    |          
                    |        |     |                       |           
4d4.5s2             | a 3P   |   0 |          20607.435    |          
                    |        |     |                       |           
4d5.(4D).5s         | a 3D   |   1 |          20930.425    |          
                    |        |     |                       |           
4d5.(4G).5s         | a 3G   |   3 |          20947.940    |          
                    |        |     |                       |           
4d5.(4D).5s         | a 3D   |   2 |          20950.853    |          
                    |        |     |                       |           
4d5.(4G).5s         | a 3G   |   4 |          21153.884    |          
                    |        |   5 |          21343.204    |          
                    |        |     |                       |           
4d5.(4D).5s         | a 3D   |   3 |          21618.630    |          
                    |        |     |                       |           
4d4.5s2             | a 3P   |   1 |          22244.375    |          
                    |        |   2 |          22875.942    |          
                    |        |     |                       |           
4d4.5s2             | a 3F   |   4 |          23516.476    |          
                    |        |   2 |          23534.407    |          
                    |        |   3 |          23668.079    |          
                    |        |     |                       |           
4d4.5s2             | a 3H   |   4 |          24096.294    |          
                    |        |   5 |          24465.771    |          
                    |        |     |                       |           
4d4.5s2             | a 1S   |   0 |          24472.140    |          
                    |        |     |                       |           
4d4.5s2             | a 3H   |   6 |          24823.482    |          
                    |        |     |                       |           
4d6                 | c 5D   |   4 |          25455.636    |          
                    |        |     |                       |           
4d5.(2I).5s         | a 3I   |   5 |          25516.912    |          
                    |        |   6 |          25548.887    |          
                    |        |     |                       |           
4d5.(6S).5p         | z 7P*  |   2 |          25614.367    |          
                    |        |     |                       |           
4d5.(2I).5s         | a 3I   |   7 |          25638.567    |          
                    |        |     |                       |           
4d6                 | c 5D   |   3 |          25707.071    |          
                    |        |   2 |          25794.608    |          
                    |        |   1 |          25820.622    |          
                    |        |     |                       |           
4d5.(6S).5p         | z 7P*  |   3 |          25871.887    |          
                    |        |     |                       |           
4d5.(4F).5s         | a 5F   |   5 |          25905.490    |          
                    |        |     |                       |           
4d6                 | c 5D   |   0 |          25980.338    |          
                    |        |     |                       |           
4d5.(4F).5s         | a 5F   |   4 |          25997.337    |          
                    |        |   3 |          26189.445    |          
                    |        |   1 |          26283.821    |          
                    |        |     |                       |           
4d5.(6S).5p         | z 7P*  |   4 |          26320.420    |          
                    |        |     |                       |           
4d5.(4F).5s         | a 5F   |   2 |          26335.816    |          
                    |        |     |                       |           
4d5.(4P).5s         | b 3P   |   1 |          26414.806    |          
                    |        |   0 |          26450.019    |          
                    |        |     |                       |           
4d4.5s2             | a 1G   |   4 |          26635.820    |          
                    |        |     |                       |           
4d5.(2D).5s         | b 3D   |   3 |          26638.742    |          
                    |        |   2 |          26758.660    |          
                    |        |     |                       |           
4d5.(2F).5s         | b 3F   |   2 |          27093.242    |          
                    |        |     |                       |           
4d4.5s2             | b 3G   |   4 |          27341.925    |          
                    |        |     |                       |           
4d5.(2D).5s         | b 3D   |   1 |          27362.456    |          
                    |        |     |                       |           
4d4.5s2             | b 3G   |   3 |          27383.838    |          
                    |        |     |                       |           
4d5.(4P).5s         | b 3P   |   2 |          27415.053    |          
                    |        |     |                       |           
4d4.5s2             | b 3G   |   5 |          27726.714    |          
                    |        |     |                       |           
4d5.(2F).5s         | b 3F   |   4 |          27765.594    |          
                    |        |   3 |          27774.422    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 7F*  |   0 |          27866.684    |          
                    |        |     |                       |           
4d5.(2I).5s         | a 1I   |   6 |          28241.014    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 7F*  |   1 |          28274.290    |          
                    |        |   2 |          28666.545    |          
                    |        |     |                       |           
4d5.(6S).5p         | z 5P*  |   1 |          28715.242    |          
                    |        |   2 |          28836.592    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 7F*  |   3 |          28848.146    |          
                    |        |     |                       |           
4d5.(6S).5p         | z 5P*  |   3 |          28923.668    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 7F*  |   4 |          29171.107    |          
                    |        |     |                       |           
4d5.(4F).5s         | c 3F   |   2 |          29641.989    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 7F*  |   5 |          29781.120    |          
                    |        |     |                       |           
4d5.(2H).5s         | b 3H   |   4 |          29842.148    |          
                    |        |   5 |          29981.714    |          
                    |        |   6 |          30113.151    |          
                    |        |     |                       |           
4d5.(4F).5s         | c 3F   |   3 |          30159.582    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 7F*  |   6 |          30496.016    |          
                    |        |     |                       |           
4d5.(4F).5s         | c 3F   |   4 |          30501.944    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 7D*  |   1 |          30846.584    |          
                    |        |   2 |          31154.935    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | y 7P*  |   2 |          31299.876    |          
                    |        |     |                       |           
4d4.5s2             | b 1I   |   6 |          31484.615    |          
                    |        |     |                       |           
4d5.(2G).5s         | c 3G   |   4 |          31510.559    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | y 7P*  |   3 |          31533.206    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 7D*  |   3 |          31654.786    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | y 7P*  |   4 |          31913.171    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 7D*  |   4 |          32123.128    |          
                    |        |     |                       |           
4d5.(2G).5s         | c 3G   |   5 |          32279.021    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 7D*  |   5 |          32611.837    |          
                    |        |     |                       |           
4d5.(2G).5s         | b 1G   |   4 |          32688.270    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | y 5P*  |   1 |          32898.742    |          
                    |        |   2 |          33299.029    |          
                    |        |     |                       |           
4d5.(2H).5s         | a 1H   |   5 |          33904.506    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | y 5P*  |   3 |          33955.010    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 5F*  |   1 |          34248.354    |          
                    |        |   2 |          34434.660    |          
                    |        |   3 |          34740.380    |          
                    |        |     |                       |           
4d6                 | c 3H   |   6 |          34810.153    |          
                    |        |   5 |          34912.076    |          
                    |        |   4 |          35042.114    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 5F*  |   4 |          35169.407    |          
                    |        |   5 |          35719.270    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 5D*  |   0 |          37128.043    |          
                    |        |   1 |          37292.965    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | y 5D*  |   0 |          37365.610    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 5D*  |   2 |          37579.174    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | y 5D*  |   1 |          37901.516    |          
                    |        |     |                       |           
4d4.5s.(6D).5p      | z 5D*  |   3 |          37968.418    |          
                    |        |   4 |          38423.030    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | y 5D*  |   2 |          38522.192    |          
                    |        |     |                       |           
                    | 1*     |   1 |          38626.50?    |          
                    |        |     |                       |           
4d5.(4G).5p         | z 5G*  |   2 |          38983.332    |          
                    |        |   3 |          39121.439    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | y 5D*  |   3 |          39159.828    |          
                    |        |     |                       |           
4d5.(4G).5p         | z 5G*  |   4 |          39289.564    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | x 5P*  |   1 |          39358.533    |          
                    |        |     |                       |           
4d5.(4G).5p         | z 5G*  |   5 |          39445.182    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | x 5P*  |   2 |          39462.647    |          
                    |        |     |                       |           
4d6                 | c 1I   |   6 |          39521.056    |          
                    |        |     |                       |           
4d5.(4G).5p         | z 5G*  |   6 |          39600.000    |          
                    |        |     |                       |           
4d5.(6S).6s         | e 7S   |   3 |          39675.532    |          
                    |        |     |                       |           
4d5.(4G).5p         | z 5H*  |   3 |          39749.894    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | z 3P*  |   1 |          39779.89?    |          
                    |        |   2 |          39821.354    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | y 5D*  |   4 |          39915.644    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | x 5P*  |   3 |          39960.469    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | z 3F*  |   2 |          39989.061    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | z 3D*  |   1 |          40036.940    |          
                    |        |     |                       |           
4d5.(4G).5p         | z 5H*  |   4 |          40067.717    |          
                    |        |     |                       |           
                    | 2*     |   2 |          40240.84?    |          
                    |        |     |                       |           
4d5.(4G).5p         | z 5H*  |   5 |          40367.264    |          
                    |        |     |                       |           
4d5.(4P).5p         | x 5D*  |   3 |          40488.277    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | z 3D*  |   2 |          40566.167    |          
                    |        |     |                       |           
4d5.(4G).5p         | z 5H*  |   6 |          40653.701    |          
                    |        |     |                       |           
4d5.(4P).5p         | x 5D*  |   1 |          40698.382    |          
                    |        |   0 |          40735.918    |          
                    |        |   2 |          40828.781    |          
                    |        |     |                       |           
4d5.(6S).6s         | e 5S   |   2 |          40840.331    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | z 3F*  |   4 |          40843.482    |          
                    |        |     |                       |           
4d4.5s.(4D).5p      | z 3D*  |   3 |          40964.040    |          
                    |        |     |                       |           
4d5.(4G).5p         | y 5F*  |   1 |          41011.664    |          
                    |        |   2 |          41031.974    |          
                    |        |   3 |          41224.386    |          
                    |        |   5 |          41347.664    |          
                    |        |   4 |          41395.523    |          
                    |        |     |                       |           
                    | 3*     |   1 |          41398.340    |          
                    |        |     |                       |           
4d5.(4G).5p         | y 3F*  |   2 |          41484.450    |          
                    |        |     |                       |           
                    | 3.1*   |   2 |          41807.000    |          
                    |        |     |                       |           
4d5.(4G).5p         | y 3F*  |   3 |          41849.838    |          
