4d5                | a 6S   |  5/2 |               0.00    |        L10502
                   |        |      |                       |               
4d4.(5D).5s        | a 6D   |  1/2 |           11783.36    |              
                   |        |  3/2 |           12034.06    |              
                   |        |  5/2 |           12417.28    |              
                   |        |  7/2 |           12900.33    |              
                   |        |  9/2 |           13460.70    |              
                   |        |      |                       |               
4d5                | a 4G   |  5/2 |           15199.25    |              
                   |        |  7/2 |           15330.56    |              
                   |        |  9/2 |           15427.73    |              
                   |        | 11/2 |           15446.97    |              
                   |        |      |                       |               
4d5                | a 4P   |  5/2 |           15691.22    |              
                   |        |  3/2 |           15699.16    |              
                   |        |  1/2 |           15890.12    |              
                   |        |      |                       |               
4d5                | a 4D   |  1/2 |           16796.14    |              
                   |        |  7/2 |           16946.78    |              
                   |        |  3/2 |           17174.10    |              
                   |        |  5/2 |           17344.10    |              
                   |        |      |                       |               
4d5                | a 2D   |  5/2 |           22444.36    |              
                   |        |  3/2 |           22864.36    |              
                   |        |      |                       |               
4d5                | a 2I   | 11/2 |           22980.48    |              
                   |        | 13/2 |           23248.19    |              
                   |        |      |                       |               
4d5                | a 4F   |  9/2 |           23832.86    |              
                   |        |  7/2 |           23853.35    |              
                   |        |  5/2 |           23934.36    |              
                   |        |  3/2 |           24137.65    |              
                   |        |      |                       |               
4d4.(5D).5s        | b 4D   |  1/2 |           24372.12    |              
                   |        |      |                       |               
4d5                | a 2F   |  7/2 |           24509.30    |              
                   |        |      |                       |               
4d4.(5D).5s        | b 4D   |  3/2 |           24659.20    |              
                   |        |      |                       |               
4d5                | a 2F   |  5/2 |           24836.09    |              
                   |        |      |                       |               
4d4.(5D).5s        | b 4D   |  5/2 |           25112.27    |              
                   |        |  7/2 |           25341.58    |              
                   |        |      |                       |               
4d4.(3H).5s        | a 4H   |  7/2 |           26041.18    |              
                   |        |      |                       |               
4d5                | a 2G   |  9/2 |           26068.60    |              
                   |        |  7/2 |           26405.61    |              
                   |        |      |                       |               
4d4.(3H).5s        | a 4H   |  9/2 |           26488.15    |              
                   |        |      |                       |               
4d4.(a 3P).5s      | b 4P   |  1/2 |           26603.55    |              
                   |        |      |                       |               
4d4.(3H).5s        | a 4H   | 11/2 |           26739.47    |              
                   |        | 13/2 |           27113.83    |              
                   |        |      |                       |               
4d5                | b 2F   |  7/2 |           27410.30    |              
                   |        |      |                       |               
4d5                | a 2H   | 11/2 |           27627.00    |              
                   |        |      |                       |               
4d4.(a 3P).5s      | b 4P   |  3/2 |           27627.55    |              
                   |        |      |                       |               
4d5                | a 2H   |  9/2 |           27724.69    |              
                   |        |      |                       |               
4d5                | b 2F   |  5/2 |           27878.89    |              
                   |        |      |                       |               
4d4.(a 3F).5s      | b 4F   |  5/2 |           28876.82    |              
                   |        |  3/2 |           28883.69    |              
                   |        |      |                       |               
4d5                | a 2S   |  1/2 |           28950.36    |              
                   |        |      |                       |               
4d4.(a 3F).5s      | b 4F   |  7/2 |           28988.96    |              
                   |        |      |                       |               
4d4.(a 3P).5s      | b 4P   |  5/2 |           29022.12    |              
                   |        |      |                       |               
4d4.(a 3F).5s      | b 4F   |  9/2 |           29034.17    |              
                   |        |      |                       |               
4d4.(3G).5s        | b 4G   |  5/2 |           29699.32    |              
                   |        |  7/2 |           30019.36    |              
                   |        |  9/2 |           30213.46    |              
                   |        | 11/2 |           30391.28    |              
                   |        |      |                       |               
4d4.(a 3P).5s      | a 2P   |  1/2 |           32124.04    |              
                   |        |      |                       |               
4d5                | b 2D   |  5/2 |           32879.55    |              
                   |        |      |                       |               
4d4.(3H).5s        | b 2H   |  9/2 |           33045.37    |              
                   |        |      |                       |               
