1s              | 2S     | 1/2 |                  0     |          
                |        |     |                        |           
2p              | 2P*    | 1/2 |         (148298780)    |          
                |        |     |                        |           
2s              | 2S     | 1/2 |         (148322460)    |          
                |        |     |                        |           
2p              | 2P*    | 3/2 |         (149508670)    |          
                |        |     |                        |           
3p              | 2P*    | 1/2 |         (176150710)    |          
                |        |     |                        |           
3s              | 2S     | 1/2 |         (176157810)    |          
                |        |     |                        |           
3d              | 2D     | 3/2 |         (176509090)    |          
                |        |     |                        |           
3p              | 2P*    | 3/2 |         (176509840)    |          
                |        |     |                        |           
3d              | 2D     | 5/2 |         (176623450)    |          
                |        |     |                        |           
4p              | 2P*    | 1/2 |         (185848990)    |          
                |        |     |                        |           
4s              | 2S     | 1/2 |         (185851950)    |          
                |        |     |                        |           
4d              | 2D     | 3/2 |         (185999910)    |          
                |        |     |                        |           
4p              | 2P*    | 3/2 |         (186000030)    |          
                |        |     |                        |           
4d              | 2D     | 5/2 |         (186048050)    |          
                |        |     |                        |           
4f              | 2F*    | 5/2 |         (186048170)    |          
                |        | 7/2 |         (186071880)    |          
                |        |     |                        |           
5p              | 2P*    | 1/2 |         (190316650)    |          
                |        |     |                        |           
5s              | 2S     | 1/2 |         (190318170)    |          
                |        |     |                        |           
5p              | 2P*    | 3/2 |         (190393730)    |          
                |        |     |                        |           
5d              | 2D     | 3/2 |         (190393760)    |          
                |        | 5/2 |         (190418320)    |          
                |        |     |                        |           
5f              | 2F*    | 5/2 |         (190418470)    |          
                |        | 7/2 |         (190430530)    |          
                |        |     |                        |           
5g              | 2G     | 7/2 |         (190430710)    |          
                |        | 9/2 |         (190438030)    |          
