2p6.3s                | 2S     | 1/2 |                 0     |    L10502
                      |        |     |                       |           
2p6.3p                | 2P*    | 1/2 |            566098     |          
                      |        | 3/2 |            782056     |          
                      |        |     |                       |           
2p6.3d                | 2D     | 3/2 |           1524931     |          
                      |        | 5/2 |           1569588     |          
                      |        |     |                       |           
2p6.4s                | 2S     | 1/2 |           6630700     |          
                      |        |     |                       |           
2p6.4p                | 2P*    | 1/2 |           6865500     |          
                      |        | 3/2 |           6951500     |          
                      |        |     |                       |           
2p6.4d                | 2D     | 3/2 |           7231500     |          
                      |        | 5/2 |           7251600     |          
                      |        |     |                       |           
2p6.4f                | 2F*    | 5/2 |           7392800     |          
                      |        | 7/2 |           7400800     |          
                      |        |     |                       |           
2p6.5p                | 2P*    | 1/2 |           9687100     |          
                      |        | 3/2 |           9735200     |          
                      |        |     |                       |           
2p6.5d                | 2D     | 3/2 |           9853700     |          
                      |        | 5/2 |           9863900     |          
                      |        |     |                       |           
2p6.5f                | 2F*    | 5/2 |           9933300     |          
                      |        | 7/2 |           9937000     |          
                      |        |     |                       |           
2p6.5g                | 2G     | 7/2 |           9944900     |          
                      |        | 9/2 |           9947200     |          
                      |        |     |                       |           
2p6.6f                | 2F*    | 5/2 |          11331700     |          
                      |        | 7/2 |          11334300     |          
