2p6.3s                  | 2S        |      1/2 |                  0.00000    |       L13237
                        |           |          |                             |              
2p6.3p                  | 2P*       |      1/2 |              16956.17025    |             
                        |           |      3/2 |              16973.36619    |             
                        |           |          |                             |              
2p6.4s                  | 2S        |      1/2 |              25739.999      |             
                        |           |          |                             |              
2p6.3d                  | 2D        |      5/2 |              29172.837      |             
                        |           |      3/2 |              29172.887      |             
                        |           |          |                             |              
2p6.4p                  | 2P*       |      1/2 |              30266.99       |             
                        |           |      3/2 |              30272.58       |             
                        |           |          |                             |              
2p6.5s                  | 2S        |      1/2 |              33200.673      |             
                        |           |          |                             |              
2p6.4d                  | 2D        |      5/2 |              34548.729      |             
                        |           |      3/2 |              34548.764      |             
                        |           |          |                             |              
2p6.4f                  | 2F*       |      7/2 |              34586.92       |             
                        |           |      5/2 |              34586.92       |             
                        |           |          |                             |              
2p6.5p                  | 2P*       |      1/2 |              35040.38       |             
                        |           |      3/2 |              35042.85       |             
                        |           |          |                             |              
2p6.6s                  | 2S        |      1/2 |              36372.618      |             
                        |           |          |                             |              
2p6.5d                  | 2D        |      5/2 |              37036.752      |             
                        |           |      3/2 |              37036.772      |             
                        |           |          |                             |              
2p6.5f                  | 2F*       |      5/2 |              37057.65       |             
                        |           |      7/2 |              37057.65       |             
                        |           |          |                             |              
2p6.5g                  | 2G        |  7/2,9/2 |              37059.54       |             
                        |           |          |                             |              
2p6.6p                  | 2P*       |      1/2 |              37296.32       |             
                        |           |      3/2 |              37297.61       |             
                        |           |          |                             |              
2p6.7s                  | 2S        |      1/2 |              38012.042      |             
                        |           |          |                             |              
2p6.6d                  | 2D        |      5/2 |              38387.255      |             
                        |           |      3/2 |              38387.268      |             
                        |           |          |                             |              
2p6.6f                  | 2F*       |      5/2 |              38399.79       |             
                        |           |      7/2 |              38399.79       |             
                        |           |          |                             |              
