2s2.2p5               | 2P*    |  3/2 |                 0.00    |      L13237
                      |        |  1/2 |              1366.55    |            
                      |        |      |                         |             
2s.2p6                | 2S     |  1/2 |            264455.0     |            
                      |        |      |                         |             
2s2.2p4.(3P).3s       | 4P     |  5/2 |            366154.41    |            
                      |        |  3/2 |            367040.66    |            
                      |        |  1/2 |            367550.17    |            
                      |        |      |                         |             
2s2.2p4.(3P).3s       | 2P     |  3/2 |            373632.32    |            
                      |        |  1/2 |            374679.91    |            
                      |        |      |                         |             
2s2.2p4.(1D).3s       | 2D     |  5/2 |            399174.71    |            
                      |        |  3/2 |            399182.31    |            
                      |        |      |                         |             
2s2.2p4.(3P).3p       | 4P*    |  5/2 |            406190.15    |            
                      |        |  3/2 |            406550.63    |            
                      |        |  1/2 |            406865.11    |            
                      |        |      |                         |             
2s2.2p4.(3P).3p       | 4D*    |  7/2 |            410976.94    |            
                      |        |  5/2 |            411536.38    |            
                      |        |  3/2 |            411951.78    |            
                      |        |  1/2 |            412189.46    |            
                      |        |      |                         |             
2s2.2p4.(3P).3p       | 2D*    |  5/2 |            414281.85    |            
                      |        |  3/2 |            415172.28    |            
                      |        |      |                         |             
2s2.2p4.(3P).3p       | 2S*    |  1/2 |            416909.31    |            
                      |        |      |                         |             
2s2.2p4.(3P).3p       | 4S*    |  3/2 |            417403.98    |            
                      |        |      |                         |             
2s2.2p4.(3P).3p       | 2P*    |  3/2 |            418417.50    |            
                      |        |  1/2 |            418556.54    |            
                      |        |      |                         |             
2s2.2p4.(1S).3s       | 2S     |  1/2 |            435028.00    |            
                      |        |      |                         |             
2s2.2p4.(1D).3p       | 2F*    |  5/2 |            440940.20    |            
                      |        |  7/2 |            441055.67    |            
                      |        |      |                         |             
2s2.2p4.(1D).3p       | 2D*    |  3/2 |            445797.52    |            
                      |        |  5/2 |            445873.20    |            
                      |        |      |                         |             
2s2.2p4.(1D).3p       | 2P*    |  3/2 |            447547.96    |            
                      |        |  1/2 |            448107.31    |            
                      |        |      |                         |             
2s2.2p4.(3P).3d       | 4D     |  7/2 |            460257.21    |            
                      |        |  5/2 |            460409.70    |            
                      |        |  3/2 |            460593.62    |            
                      |        |  1/2 |            460746.98    |            
                      |        |      |                         |             
2s2.2p4.(3P).3d       | 4F     |  9/2 |            462891.04    |            
                      |        |  7/2 |            463245.76    |            
                      |        |  5/2 |            463691.90    |            
                      |        |      |                         |             
2s2.2p4.(3P).3d       | 2F     |  7/2 |            463970.92    |            
                      |        |      |                         |             
2s2.2p4.(3P).3d       | 4F     |  3/2 |            464077.16    |            
