2s2.2p              | 2P*    | 1/2 |              0.00    |    L13237
                    |        | 3/2 |           2134.61    |          
                    |        |     |                      |           
2s.2p2              | 4P     | 1/2 |         114995       |          
                    |        | 3/2 |         115728       |          
                    |        | 5/2 |         116798       |          
                    |        |     |                      |           
2s.2p2              | 2D     | 5/2 |         205412       |          
                    |        | 3/2 |         205448       |          
                    |        |     |                      |           
2s.2p2              | 2S     | 1/2 |         264400       |          
                    |        |     |                      |           
2s.2p2              | 2P     | 1/2 |         283869       |          
                    |        | 3/2 |         285189       |          
                    |        |     |                      |           
2p3                 | 4S*    | 3/2 |         367308       |          
                    |        |     |                      |           
2p3                 | 2D*    | 5/2 |         412311       |          
                    |        | 3/2 |         412395       |          
                    |        |     |                      |           
2p3                 | 2P*    | 1/2 |         465017       |          
                    |        | 3/2 |         465111       |          
                    |        |     |                      |           
2s2.3s              | 2S     | 1/2 |         951350       |          
                    |        |     |                      |           
2s2.3p              | 2P*    | 3/2 |        1008420       |          
                    |        |     |                      |           
2s2.3d              | 2D     | 3/2 |        1060580       |          
                    |        | 5/2 |        1060700       |          
                    |        |     |                      |           
2s.2p.(3P*).3s      | 4P*    | 1/2 |        1077270       |          
                    |        | 3/2 |        1078000       |          
                    |        | 5/2 |        1079330       |          
                    |        |     |                      |           
2s.2p.(3P*).3s      | 2P*    | 1/2 |        1103220       |          
                    |        | 3/2 |        1104620       |          
                    |        |     |                      |           
2s.2p.(3P*).3p      | 2P     | 1/2 |        1126810       |          
                    |        | 3/2 |        1127430       |          
                    |        |     |                      |           
2s.2p.(3P*).3p      | 2D     | 3/2 |        1154780       |          
                    |        | 5/2 |        1156180       |          
                    |        |     |                      |           
2s.2p.(3P*).3p      | 2S     | 1/2 |        1172340       |          
                    |        |     |                      |           
2s.2p.(3P*).3d      | 4D*    | 3/2 |        1185740       |          
                    |        | 5/2 |        1186000       |          
                    |        | 7/2 |        1186480       |          
                    |        |     |                      |           
2s.2p.(3P*).3d      | 2D*    | 3/2 |        1186630       |          
                    |        | 5/2 |        1187890       |          
                    |        |     |                      |           
2s.2p.(3P*).3d      | 4P*    | 5/2 |        1192350       |          
                    |        | 3/2 |        1192870       |          
                    |        | 1/2 |        1193210       |          
                    |        |     |                      |           
2s.2p.(1P*).3s      | 2P*    | 3/2 |        1198290       |          
                    |        | 1/2 |        1198290       |          
                    |        |     |                      |           
2s.2p.(3P*).3d      | 2F*    | 5/2 |        1209910       |          
                    |        | 7/2 |        1211240       |          
                    |        |     |                      |           
2s.2p.(3P*).3d      | 2P*    | 3/2 |        1217190       |          
                    |        | 1/2 |        1217950       |          
                    |        |     |                      |           
2s.2p.(1P*).3p      | 2D     | 3/2 |        1251670       |          
                    |        | 5/2 |        1252010       |          
                    |        |     |                      |           
2s.2p.(1P*).3p      | 2P     | 1/2 |        1253350       |          
                    |        | 3/2 |        1253780       |          
                    |        |     |                      |           
2s.2p.(1P*).3p      | 2S     | 1/2 |        1258880       |          
                    |        |     |                      |           
2p2.(3P).3s         | 4P     | 3/2 |        1290050       |          
                    |        | 5/2 |        1291580       |          
                    |        |     |                      |           
2s.2p.(1P*).3d      | 2F*    | 5/2 |        1292330       |          
                    |        | 7/2 |        1292330       |          
                    |        |     |                      |           
2s2.4s              | 2S     | 1/2 |        1294910       |          
                    |        |     |                      |           
2s.2p.(1P*).3d      | 2D*    | 3/2 |        1303450?      |          
                    |        | 5/2 |        1303610       |          
                    |        |     |                      |           
2s.2p.(1P*).3d      | 2P*    | 3/2 |        1306470       |          
                    |        | 1/2 |        1306470       |          
                    |        |     |                      |           
2p2.(1D).3s         | 2D     | 3/2 |        1331140       |          
                    |        | 5/2 |        1331970       |          
                    |        |     |                      |           
2s2.4d              | 2D     | 3/2 |        1335810       |          
                    |        | 5/2 |        1335830       |          
                    |        |     |                      |           
2p2.(3P).3p         | 4D*    | 7/2 |        1338470       |          
                    |        |     |                      |           
2p2.(3P).3p         | 4P*    | 5/2 |        1344850       |          
                    |        |     |                      |           
2p2.(3P).3p         | 2D*    | 5/2 |        1348720       |          
                    |        | 3/2 |        1348720       |          
