4f4.6s2                         | 5I      |   4 |             0.000    |     L3974
                                |         |   5 |          1128.056    |          
                                |         |   6 |          2366.597    |          
                                |         |   7 |          3681.696    |          
                                |         |   8 |          5048.602    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5L*     |   6 |          6764.211    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5K*     |   5 |          6853.994    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5L*     |   7 |          8402.487    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5K*     |   6 |          8411.900    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7L      |   5 |          8475.355    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6M*).6s     | 7M*     |   6 |          8800.392    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5I*     |   4 |          9083.813    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7L      |   6 |          9115.092    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6M*).6s     | 7M*     |   7 |          9692.277    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7K      |   4 |          9814.683    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5H*     |   3 |          9927.387    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7L      |   7 |          9939.704    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5I*     |   5 |         10004.583    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5K*     |   7 |         10017.790    |          
                                |         |     |                      |           
4f4.6s2?                        | 5F      |   1 |         10118.968    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5L*     |   8 |         10160.612    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7K      |   5 |         10376.842    |          
                                |         |     |                      |           
4f4.6s2?                        | 5F      |   2 |         10469.468    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5H*     |   4 |         10672.571    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 5L      |   6 |         10774.927    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6M*).6s     | 7M*     |   8 |         10784.929    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7L      |   8 |         10897.998    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | *       |   5 |         10918.755    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7I      |   3 |         11001.353    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6L*).6s     | 7L*     |   5 |         11108.813    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7K      |   6 |         11109.167    |          
                                |         |     |                      |           
4f4.6s2?                        | 5F      |   3 |         11118.466    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5I*     |   6 |         11179.045    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6K*).6s     | 7K*     |   4 |         11360.794    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5G*     |   3 |         11375.770    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7I      |   4 |         11486.093    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5K*     |   8 |         11704.640    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6L*).6s     | 7L*     |   6 |         11812.804    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7G      |   1 |         11841.78     |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6M*).6s     | 7M*     |   9 |         11887.735    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7K      |   7 |         11918.353    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7L      |   9 |         11959.761    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7G      |   2 |         11990.02     |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | *       |   4 |         11992.388    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6K*).6s     | 7K*     |   5 |         12009.206    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 5L      |   7 |         12056.824    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 5K      |   5 |         12065.807    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5L*     |   9 |         12162.142    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7I      |   5 |         12178.643    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7G      |   3 |         12264.88     |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6I*).6s     | 7I*     |   3 |         12369.470    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5H*     |   5 |         12394.260    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | *       |   6 |         12505.754    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6L*).6s     | 7L*     |   7 |         12611.210    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7G      |   4 |         12624.175    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6M*).6s     | 5M*     |   7 |         12731.804    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 5H      |   3 |         12736.919    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6K*).6s     | 7K*     |   6 |         12837.035    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6I*).6s     | 7I*     |   4 |         12878.503    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7K      |   8 |         12902.422    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7I      |   6 |         12917.422    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5I*     |   7 |         12927.232    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             |         |   4 |         13017.120    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7L      |  10 |         13101.411    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5G*     |   4 |         13116.887    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 5K      |   6 |         13195.169    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | *       |   6 |         13276.820    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 5L      |   8 |         13333.505    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6H*).6s     | 7H*     |   2 |         13621.805    |          
                                |         |     |                      |           
