1s              | 2S     |  1/2 |                 0.0       |     L3620
                |        |      |                           |           
2p              | 2P*    |  1/2 |          (5270781.85)     |     L3620
                |        |      |                           |           
2s              | 2S     |  1/2 |          (5270855.39)     |     L3620
                |        |      |                           |           
2p              | 2P*    |  3/2 |          (5272284.37)     |     L3620
                |        |      |                           |           
3p              | 2P*    |  1/2 |          (6247399.742)    |     L3620
                |        |      |                           |           
3s              | 2S     |  1/2 |          (6247421.72)     |     L3620
                |        |      |                           |           
3d              | 2D     |  3/2 |          (6247844.2122)   |     L3620
                |        |      |                           |           
3p              | 2P*    |  3/2 |          (6247844.960)    |     L3620
                |        |      |                           |           
3d              | 2D     |  5/2 |          (6247992.3879)   |     L3620
                |        |      |                           |           
4p              | 2P*    |  1/2 |          (6589154.903)    |     L3620
                |        |      |                           |           
4s              | 2S     |  1/2 |          (6589164.206)    |     L3620
                |        |      |                           |           
4d              | 2D     |  3/2 |          (6589342.396)    |     L3620
                |        |      |                           |           
4p              | 2P*    |  3/2 |          (6589342.716)    |     L3620
                |        |      |                           |           
4f              | 2F*    |  5/2 |          (6589404.7992)   |     L3620
                |        |      |                           |           
4d              | 2D     |  5/2 |          (6589404.912)    |     L3620
                |        |      |                           |           
4f              | 2F*    |  7/2 |          (6589436.0450)   |     L3620
                |        |      |                           |           
5p              | 2P*    |  1/2 |          (6747312.6360)   |     L3620
                |        |      |                           |           
5s              | 2S     |  1/2 |          (6747317.4070)   |     L3620
                |        |      |                           |           
5d              | 2D     |  3/2 |          (6747408.6240)   |     L3620
                |        |      |                           |           
5p              | 2P*    |  3/2 |          (6747408.7880)   |     L3620
                |        |      |                           |           
5f              | 2F*    |  5/2 |          (6747440.5739)   |     L3620
                |        |      |                           |           
5d              | 2D     |  5/2 |          (6747440.6320)   |     L3620
                |        |      |                           |           
5g              | 2G     |  7/2 |          (6747456.5421)   |     L3620
                |        |      |                           |           
5f              | 2F*    |  7/2 |          (6747456.5724)   |     L3620
                |        |      |                           |           
5g              | 2G     |  9/2 |          (6747466.1397)   |     L3620
                |        |      |                           |           
6p              | 2P*    |  1/2 |          (6833214.5940)   |     L3620
                |        |      |                           |           
6s              | 2S     |  1/2 |          (6833217.3570)   |     L3620
                |        |      |                           |           
6d              | 2D     |  3/2 |          (6833270.1380)   |     L3620
                |        |      |                           |           
6p              | 2P*    |  3/2 |          (6833270.2344)   |     L3620
                |        |      |                           |           
6f              | 2F*    |  5/2 |          (6833288.6275)   |     L3620
                |        |      |                           |           
6d              | 2D     |  5/2 |          (6833288.6610)   |     L3620
                |        |      |                           |           
6g              | 2G     |  7/2 |          (6833297.8685)   |     L3620
                |        |      |                           |           
6f              | 2F*    |  7/2 |          (6833297.8861)   |     L3620
                |        |      |                           |           
6h              | 2H*    |  9/2 |          (6833303.4119)   |     L3620
                |        |      |                           |           
6g              | 2G     |  9/2 |          (6833303.4228)   |     L3620
                |        |      |                           |           
6h              | 2H*    | 11/2 |          (6833307.1145)   |     L3620
                |        |      |                           |           
7p              | 2P*    |  1/2 |          (6885005.7306)   |     L3620
